sample	DNA_isolation_method	n_reads	total_bases	mean_len	median_len	n50_len	max_len	min_len	mean_Q	median_Q
SRTP_A_M2_210415_ZMB	ZMB	120688	186165941	1542.53895167705	1576	1578	6366	104	19.5130424325534	19.6706
SRTP_A_M2_210704_ZHMW	ZHMW	40675	63214642	1554.13993853719	1579	1580	4023	139	18.6588566564229	18.6139
SRTP_A_M2_210704_ZMB	ZMB	100863	156135547	1547.99626225672	1577	1578	6338	109	19.9884880937509	20.221
SRTP_A_M2_210803_ZHMW	ZHMW	55023	84012817	1526.86725551133	1578	1579	4948	112	18.5636053486724	18.578
SRTP_A_M2_210803_ZMB	ZMB	57102	87761205	1536.91998528948	1571	1572	13019	102	19.234187942629	19.2772
SRTP_A_M2_211203_ZHMW	ZHMW	67395	102701722	1523.87746865494	1569	1571	6455	89	18.6764720409526	18.6673
SRTP_A_M2_211203_ZMB	ZMB	50053	75554038	1509.48071044693	1568	1570	3500	125	19.8509127524824	20.0602
SRTP_A_F3_210317_ZHMW	ZHMW	61883	97804870	1580.48042273322	1620	1621	3535	135	19.6720906226266	19.8603
SRTP_A_F3_210317_ZMB	ZMB	94926	150712235	1587.68129911721	1621	1622	7101	101	18.4393354718412	18.5035
SRTP_A_F3_210401_ZHMW	ZHMW	40409	62651385	1550.43146328788	1573	1574	4552	140	18.6470266599025	18.8071
SRTP_A_F3_210401_ZMB	ZMB	42105	64488254	1531.60560503503	1571	1573	4873	104	19.4387051775324	19.6038
SRTP_A_F3_210413_ZHMW	ZHMW	32070	49497164	1543.41016526349	1570	1571	5743	119	18.0630301683817	18.1371
SRTP_A_F3_210413_ZMB	ZMB	66769	100838366	1510.25724512873	1578	1581	5736	123	19.0315926657581	19.0846
SRTP_A_F3_210704_ZHMW	ZHMW	132552	199397945	1504.29978423562	1568	1570	6298	137	18.5503964828897	18.6421
SRTP_A_F3_210704_ZMB	ZMB	116984	179989281	1538.58032722424	1569	1570	4793	103	19.5914413218902	19.75895
SRTP_A_F3_210803_ZHMW	ZHMW	111529	174775567	1567.08629145783	1586	1589	6325	107	19.0124064476504	19.0896
SRTP_A_F3_210803_ZMB	ZMB	63691	97746367	1534.69669184029	1574	1576	3793	123	19.3641840574021	19.4169
SRTP_A_F3_211003_ZHMW	ZHMW	112393	173796769	1546.33090139066	1573	1574	5437	103	19.552359264367	19.7415
SRTP_A_F3_211003_ZMB	ZMB	60656	92965058	1532.66054471116	1565	1567	4785	118	19.7660211833949	19.92825
SRTP_A_F3_211203_ZHMW	ZHMW	136981	211848466	1546.55365342639	1567	1569	5397	125	19.6215482373468	19.8164
SRTP_A_F3_211203_ZMB	ZMB	56908	87735308	1541.70429465102	1576	1577	4728	108	19.8485589143881	20.02485
SRTP_A_M3_210414_ZHMW	ZHMW	156597	240778641	1537.56866989789	1568	1569	6267	114	18.9054056195202	18.9361
SRTP_A_M3_210414_ZMB	ZMB	56238	86954070	1546.17998506348	1577	1578	4856	130	19.7830791102102	19.95735
SRTP_A_M3_210903_ZHMW	ZHMW	24404	36949556	1514.07785608917	1557	1559	3583	147	16.9415815603999	16.81465
