feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteria.Firmicutes.Bacilli	source	Canis_lupus	5.35820234783755	0.107707240528973	27	27	9.97479021868484e-26	4.58840350059503e-24
Bacteria.Candidatus.Melainabacteria.unassigned	source	Canis_lupus	-3.8811397107031	0.129992115474045	27	27	1.72066814253835e-20	3.9575367278382e-19
Bacteria.Candidatus.Melainabacteria.unassigned	source	Homo_sapiens	-3.30742312348637	0.129992115474045	27	27	7.13958548151841e-19	1.09473644049949e-17
Bacteria.Firmicutes.Clostridia	source	Canis_lupus	-0.564806208596024	0.0236672812656783	27	27	3.14023935113632e-18	3.61127525380677e-17
Bacteria.Firmicutes.Negativicutes	source	Canis_lupus	1.64813250063961	0.0739123131721595	27	27	1.49624781188746e-17	1.37654798693646e-16
Bacteria.Fusobacteria.Fusobacteriia	source	Canis_lupus	7.00873346679841	0.335734495900523	27	26	6.75686633980323e-17	5.18026419384914e-16
Bacteria.Proteobacteria.Epsilonproteobacteria	source	Canis_lupus	1.48212851945771	0.0739311914021902	27	9	1.69737086907634e-16	1.11541514253588e-15
Bacteria.Synergistetes.Synergistia	source	Canis_lupus	-1.78313171179707	0.0954928850950037	27	9	8.45571555313183e-16	4.32181017160071e-15
Bacteria.Synergistetes.Synergistia	source	Homo_sapiens	-1.78313171179707	0.0954928850950037	27	9	8.45571555313183e-16	4.32181017160071e-15
Bacteria.Lentisphaerae.Lentisphaeria	source	Canis_lupus	-1.35713727182045	0.0741328317784435	27	9	1.31980626862088e-15	5.51918985059644e-15
Bacteria.Lentisphaerae.Lentisphaeria	source	Homo_sapiens	-1.35713727182045	0.0741328317784435	27	9	1.31980626862089e-15	5.51918985059644e-15
Bacteria.Deferribacteres.Deferribacteres	source	Canis_lupus	1.54113574826358	0.0994374884413561	27	9	5.31600447158072e-14	2.03780171410594e-13
Bacteria.Verrucomicrobia.Verrucomicrobiae	source	Canis_lupus	-7.53301631675482	0.495210179792764	27	16	7.99758424183047e-14	2.82991442403232e-13
Bacteria.Verrucomicrobia.Verrucomicrobiae	source	Homo_sapiens	-6.86707015236365	0.495210179792764	27	16	5.92666527786623e-13	1.94733287701319e-12
Bacteria.Tenericutes.Mollicutes	source	Homo_sapiens	-3.11502152395077	0.243231508434072	27	18	3.21210429278444e-12	9.85045316453894e-12
Bacteria.Firmicutes.Erysipelotrichia	source	Homo_sapiens	-3.25218645330101	0.288805414709678	27	27	4.60625741304916e-11	1.32429900625163e-10
