superkingdom	phylum	class	order	family	genus	species	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	7461.70044848919	4397.32628939125	4037.99972671815	84.0268179346275	64.0059774122738	58.5461413350138	6008.78427285572	3125.93432272438	8115.43655256249
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium faecale	182.398637756493	175.958887479441	142.852487623181	0	0	0	163.255948993175	75.2604850243097	169.596502250828
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	Segniliparus rotundus	0	0	0	0	0	0	11.1492396255081	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	1483.83359327526	1379.19011041237	641.523325884468	341.093530494389	134.357435246939	170.087439674881	903.079767360531	574.720806490247	1392.68808271505
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	13.0074760928032	0	11.0261349052509	14.0038399616465	0	0	0	0	12.0059324062241
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Adlercreutzia equolifaciens	54.0311693430225	72.0631143708753	28.0235772696179	90.0202478079098	24.0187231917634	46.0724356889857	47.3515265103157	38.0835958874417	76.0090215789639
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Gordonibacter pamelaeae	0	0	0	0	0	0	0	0	13.6486858019917
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	Raoultibacter massiliensis	44.9395501660976	42.6053863285231	34.0313586701558	50.3334419811804	29.7826651503215	33.6693637475774	47.1453622927159	22.6747804743788	62.5381072726715
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	Raoultibacter timonensis	303.739445814352	258.65465319456	215.444013949878	265.767588194722	145.092212917798	196.343390944571	236.16845799872	189.591413591866	447.735580101666
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae	375.740193288206	223.708887157197	273.926129487177	567.770745867976	224.665330527607	437.357163793931	245.769157985252	155.49180265764	478.862123205269
