superkingdom	phylum	class	order	family	genus	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hungatella	3037.44810970872	1891.09705588662	1867.90633469076	6997.74471546651	2362.65964371049	3806.27614176843	2082.02546006684	1108.16501583197	3025.04268067712
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Lactonifactor	78.2103577511234	78.2702108254097	34.2296943109577	148.068739991964	93.0150375570761	107.713397854379	65.910983373948	53.7424800608791	92.6203421469422
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XII. Incertae Sedis	Fusibacter	0	0	0	0	0	0	0	0	23.5786909283617
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Aminipila	22.1533455916171	17.3177312601602	20.235120126647	46.1967557156023	32.5066092572971	29.3846696492599	20.83695269182	0	25.982374315234
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Anaerovorax	25.0840020785529	21.6870252654568	0	35.3512957454283	19.1018298146202	18.7182696964958	0	0	27.3206471366814
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Casaltella	86.2502495343681	80.0798679441933	83.7040685305927	193.362800873175	101.888264874876	125.149248057473	68.1851852024226	46.2436002018914	102.061002116878
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Emergencia	217.616529431538	216.060129449145	173.457031263399	440.21622602307	230.98862465562	265.16208720399	164.09191215513	135.589952408117	234.23867628092
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Ihubacter	178.285571577469	175.570530504284	148.053394822516	296.053703521923	180.803122224365	195.707708067897	101.932367594878	93.9741857575794	194.890675319834
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	unassigned	20.9740555935195	0	29.9417872635143	40.3245931899366	18.6071364354426	22.9943665618883	27.8957500691837	14.5998160722062	23.715729924631
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	20.0114670611079	0	10.0083852057775	27.0074056403182	11.0080872104073	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	2712.98090541427	2039.78464281948	1674.77281260842	6975.66040404505	2649.78463008128	3565.54236627923	1851.79647254868	1177.74662479929	2632.80592375797
