feature	Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales	Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales	Bacteria.Actinobacteria.Actinobacteria.Micrococcales	Bacteria.Actinobacteria.Actinobacteria.Propionibacteriales	Bacteria.Actinobacteria.Actinobacteria.Streptomycetales	Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales	Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales	Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales	Bacteria.Cyanobacteria.Gloeobacteria.Gloeobacterales	Bacteria.Cyanobacteria.unassigned.Oscillatoriales	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales	Bacteria.Firmicutes.Bacilli.Bacillales	Bacteria.Firmicutes.Bacilli.Lactobacillales	Bacteria.Firmicutes.Clostridia.Clostridiales	Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales	Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales	Bacteria.Firmicutes.Negativicutes.Acidaminococcales	Bacteria.Firmicutes.Negativicutes.Selenomonadales	Bacteria.Firmicutes.Negativicutes.Veillonellales	Bacteria.Firmicutes.Tissierellia.Tissierellales	Bacteria.Firmicutes.unassigned.unassigned	Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales	Bacteria.Lentisphaerae.Lentisphaeria.Victivallales	Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales	Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales	Bacteria.Proteobacteria.Alphaproteobacteria.Sneathiellales	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales	Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales	Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales	Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales	Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales	Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales	Bacteria.Synergistetes.Synergistia.Synergistales	Bacteria.Tenericutes.Mollicutes.Acholeplasmatales	Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales	Bacteria.Tenericutes.Mollicutes.Mycoplasmatales	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales
PRMT_FM1_FR_MONT_20240807_bc25_D6323	-7.37856811109277	-14.3069736139718	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.09075534208151	-9.74374734579334	-4.31485388919302	-8.8818436657866	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.62905353886911	-7.66437439288013	-0.151385970512384	-14.1404656594504	-8.44410987843895	-7.62724017016257	-6.4299274924037	-8.63008634441773	-13.949089919838	-13.7828343601877	-12.6718031828014	-11.4724943831986	-14.0111958083001	-12.0941058140442	-13.7262509754444	-15.5607939450603	-12.3167707048733	-15.8119528788744	-9.57806775274516	-15.6872706204414	-14.906397673135	-11.6585063688085	-14.0116986106291	-13.2725385643932	-10.0602247392472	-15.0431813841332	-16.2672588328851	-12.0551437367927	-12.0371216585498	-14.6885387599858	-15.003773444218	-8.60491671161489
PRMT_FM2_FR_MONT_20240807_bc26_D6323	-7.5008398219066	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.02618010142688	-9.60892087852836	-4.36648612574549	-8.8185543025993	-16.6115659685739	-16.6085560007005	-15.1184375677754	-9.02203260817918	-7.88555867548329	-0.145960995054608	-14.4339490071251	-8.51877696810989	-7.67629002677273	-6.39831603403376	-8.94245245435088	-14.7827614123469	-14.3322013945314	-13.926819967527	-11.8075210391547	-13.9338485165301	-12.3321895154235	-13.7847871479045	-15.5607939450603	-12.4001353172867	-15.8119528788744	-9.38820032556297	-15.6872706204414	-13.7877562719242	-11.4312228688741	-14.0116986106291	-13.2725385643932	-9.36483307830541	-15.0431813841332	-16.2672588328851	-12.5795208492041	-12.1746970725561	-14.6885387599858	-14.003773444218	-8.7227548249341
PRMT_FM3_FR_MONT_20240807_bc27_D6323	-7.47757940344315	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.688368447743	-9.79220276697419	-4.37769967539052	-8.84484229097305	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.68315391094491	-7.63818753631709	-0.145164850428041	-14.0948238702436	-8.64125152068309	-7.49943781386239	-6.43953324708666	-8.5342710916542	-16.944725427895	-13.5675625777419	-13.4411984619664	-11.5417253379204	-15.6896858446037	-12.0432720723256	-13.81971008522	-15.5607939450603	-12.0651616354756	-15.8119528788744	-9.55292354452522	-14.119738964121	-14.906397673135	-11.8562359612452	-14.0116986106291	-13.2725385643932	-10.0383365329907	-15.0431813841332	-16.2672588328851	-12.3276168742438	-12.386750677944	-14.6885387599858	-15.003773444218	-8.6517018767482
PRMT_FO1_FR_ONT_20240807_bc10_D6323	-13.2497107688169	-15.6533347876892	-16.0709025380029	-16.2862175406447	-14.6195409490154	-11.6901349990313	-10.6270838752073	-5.19302722644287	-8.67033821589621	-15.1716831852788	-16.6085560007005	-15.1184375677754	-9.17854305830558	-7.99844300236222	-0.0996814892432478	-13.4292937737689	-7.92393747070708	-7.46028487973561	-6.06071195997811	-9.18677530084197	-13.8697695680045	-13.9099115842179	-14.6050255387965	-12.1147349296517	-14.4358133594234	-13.1536973890457	-14.4124154782892	-15.5607939450603	-12.5061955799003	-15.8119528788744	-10.7620345574494	-14.3886994594117	-13.2344608846896	-13.7494504655699	-14.0116986106291	-13.2725385643932	-10.4462880811457	-14.0431813841332	-16.2672588328851	-12.7679591678277	-11.4616154492682	-14.6885387599858	-13.9072008747285	-10.4049213812719
PRMT_FO2_FR_ONT_20240807_bc11_D6323	-13.5807900008106	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-11.8100467202255	-10.7380601339708	-5.21083274291413	-8.66634349426412	-15.6115659685739	-15.6085560007005	-15.1184375677754	-9.24955571907316	-7.98307045876435	-0.0996248810436726	-13.845189414338	-7.96217727454914	-7.48948674408797	-6.0337507075107	-9.01926160427658	-13.5573510017192	-13.7166011196827	-14.4158840934063	-12.1490975527114	-14.6896858446037	-12.7678541294711	-14.1304817495338	-14.3716714843077	-13.2611461641056	-15.8119528788744	-10.7469991092965	-14.4529363522983	-13.906397673135	-13.7434587514348	-14.0116986106291	-13.2725385643932	-10.2788862136571	-13.8612952417287	-16.2672588328851	-12.480258758718	-11.5579428051114	-14.6885387599858	-13.094163944034	-10.3230918656769
PRMT_FO3_FR_ONT_20240807_bc12_D6323	-13.5153301668579	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-12.0394410280957	-10.9133262969196	-5.30271998289605	-8.74000723784578	-15.242764148052	-15.525900312509	-15.1184375677754	-9.15319062951068	-7.87409446307336	-0.0993204327689612	-13.8925930534863	-8.05804765566914	-7.38099861905603	-5.93462807960322	-8.96524215448139	-14.0176212245951	-13.9420529318873	-14.0996345103279	-12.0181046248313	-14.0879613496311	-12.5662194331275	-14.4815051456715	-14.5607939450603	-13.7460312072098	-15.8119528788744	-10.6521340568431	-14.6872706204414	-13.5863908645735	-13.7979784906486	-14.0116986106291	-13.2725385643932	-10.2062521041303	-13.7185443429724	-16.2672588328851	-12.4570742601476	-11.7121996700085	-14.6885387599858	-13.52850245052	-10.5118787947143
PRMT_FP1_FR_PB_20240807_bc40_D6323	-7.10407177563528	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.74310310073976	-9.39596882891123	-4.124770842225	-8.91253319430282	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.48773557963065	-7.49415306578147	-0.17316586490404	-15.4339490071251	-7.25082824850401	-7.59548841826198	-6.292238323893	-8.53221693334964	-13.3583366615263	-15.3322013945314	-13.4837097114885	-12.2722056062948	-15.6896858446037	-12.8247466293236	-15.7407124661441	-15.5607939450603	-14.7460312072098	-15.8119528788744	-8.77163529286405	-15.6872706204414	-13.8830793979038	-11.7316372249321	-14.0116986106291	-13.2725385643932	-9.70858080150056	-15.0431813841332	-16.2672588328851	-13.3386121274596	-11.2190948813684	-14.6885387599858	-15.003773444218	-8.82174414116209
PRMT_FP2_FR_PB_20240807_bc41_D6323	-6.9779460020835	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.56954562921043	-9.25202512958518	-4.11725843216607	-8.94924812739077	-16.6115659685739	-16.6085560007005	-15.1184375677754	-9.25486590969317	-8.07304174958876	-0.165289390770786	-15.4339490071251	-7.1142043360084	-7.77558799166426	-6.32623101865641	-9.53085291002568	-16.944725427895	-15.3322013945314	-15.6050255387965	-11.8477922883419	-15.6896858446037	-12.7264859921197	-15.7407124661441	-15.5607939450603	-14.7460312072098	-15.8119528788744	-9.13378784261896	-15.6872706204414	-14.906397673135	-11.4712289368777	-14.0116986106291	-13.2725385643932	-11.3407465146545	-15.0431813841332	-16.2672588328851	-12.471290236862	-11.1415398971012	-14.6885387599858	-15.003773444218	-9.04043736628425
PRMT_FP3_FR_PB_20240807_bc42_D6323	-7.33007796296124	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.81208612207665	-9.63067917549279	-4.3445900425928	-8.87567714783739	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.58601058230238	-7.57064528360606	-0.153904497090666	-15.4339490071251	-7.62862591272736	-7.60361823731045	-6.18042837726427	-8.56400330190325	-16.944725427895	-13.7398597026939	-13.6523968614777	-12.0119392481648	-15.6896858446037	-12.6954655833696	-15.7407124661441	-15.5607939450603	-14.7460312072098	-15.8119528788744	-9.24400467584084	-15.6872706204414	-14.906397673135	-12.0960035129533	-14.0116986106291	-13.2725385643932	-10.0887884261965	-15.0431813841332	-16.2672588328851	-12.5218477297075	-11.8595757831343	-14.6885387599858	-15.003773444218	-9.06390266976971
PRMT_CO1_canis_ONT_20240807_bc01	-12.9149724112216	-15.6533347876892	-16.0709025380029	-14.9983923634651	-15.6195409490154	-9.75046944471874	-12.5751483808978	-7.14297656386928	-13.135895887215	-16.6115659685739	-16.6085560007005	-13.7029364799389	-9.11070127988627	-1.82888775763706	-0.730069494260686	-15.4339490071251	-6.20662844421155	-5.36823975788032	-4.59163938213026	-9.21036962893414	-16.944725427895	-15.3322013945314	-6.00653970686805	-13.2722056062948	-15.6896858446037	-13.3291931650197	-15.7407124661441	-15.5607939450603	-12.0481649053011	-15.8119528788744	-8.04097606905422	-15.6872706204414	-14.906397673135	-16.0709025380029	-12.3904728307407	-9.31827262997873	-8.68796322188653	-15.0431813841332	-16.2672588328851	-14.3386121274596	-13.386750677944	-11.637645107176	-15.003773444218	-17.404762356635
