sample	category	N	ratio
PRMT_MP1_MCS_PB	below_min	85821	0.372309227365407
PRMT_MM3_MCS_MONT	above_max	4232	0.00832534962730683
PRMT_LM3_canis_MONT	below_min	219025	0.368048005457915
PRMT_FP1_FR_PB	below_min	80659	0.3696359503602
PRMT_CO1_canis_ONT	below_min	134302	0.365853791420135
PRMT_MO2_MCS_ONT	below_min	119203	0.370054296029777
PRMT_HM2_human_MONT	below_min	104708	0.366640054904268
PRMT_HP1_human_PB	normal	178422	0.620363062352013
PRMT_HM3_human_MONT	normal	165363	0.623214077086293
PRMT_HM2_human_MONT	normal	178752	0.625908651624018
PRMT_MP2_MCS_PB	below_min	123652	0.37060614779648
PRMT_MM3_MCS_MONT	below_min	186289	0.366474729849093
PRMT_MM2_MCS_MONT	normal	210373	0.619252268773494
PRMT_CO1_canis_ONT	normal	227599	0.620005339261003
PRMT_MM1_MCS_MONT	below_min	209298	0.368694653436045
PRMT_MP3_MCS_PB	below_min	79501	0.3775944449194
PRMT_FO2_FR_ONT	normal	440606	0.629403874366641
PRMT_GM1_GMS_MONT	below_min	167333	0.367462788828523
PRMT_GP1_GMS_PB	normal	168239	0.618712258842739
PRMT_MP2_MCS_PB	normal	207926	0.623189708914785
PRMT_MO1_MCS_ONT	normal	200080	0.61856180053175
PRMT_GP3_GMS_PB	below_min	105843	0.366993058396843
PRMT_HM1_human_MONT	below_min	152455	0.366720788983102
PRMT_HP2_human_PB	normal	107018	0.623611677641163
PRMT_LM1_canis_MONT	above_max	2379	0.0096677056368535
PRMT_FO3_FR_ONT	below_min	269529	0.356789321034803
PRMT_HP3_human_PB	normal	274336	0.623547595235931
PRMT_FO1_FR_ONT	above_max	6014	0.0114806047648137
PRMT_FP2_FR_PB	below_min	78095	0.370839071180968
PRMT_FO1_FR_ONT	below_min	191504	0.365577275503971
PRMT_HM3_human_MONT	below_min	97931	0.369078801080881
PRMT_CO3_canis_ONT	normal	167660	0.615883068174722
PRMT_HO2_human_ONT	below_min	121567	0.369149995748764
PRMT_MM2_MCS_MONT	below_min	124983	0.367898952375626
PRMT_GP3_GMS_PB	normal	180690	0.626512624563983
PRMT_FM3_FR_MONT	below_min	106057	0.366020493033818
PRMT_FM1_FR_MONT	below_min	130330	0.369215166349379
PRMT_GP1_GMS_PB	below_min	101687	0.37396200325098
PRMT_CP2_canis_PB	above_max	3458	0.00603169342671004
PRMT_GP2_GMS_PB	normal	117546	0.61979509947114
PRMT_GM3_GMS_MONT	normal	34526	0.594046799724708
PRMT_LM1_canis_MONT	below_min	92100	0.37427309338134
PRMT_HO1_human_ONT	above_max	6544	0.00753758136245469
PRMT_MO1_MCS_ONT	above_max	3753	0.0116026711185309
PRMT_GO3_GMS_ONT	above_max	3512	0.0183263148556907
PRMT_FO2_FR_ONT	above_max	9137	0.0130521672425886
PRMT_CO2_canis_ONT	above_max	4272	0.0165086774895372
PRMT_MP2_MCS_PB	above_max	2070	0.00620414328873543
PRMT_FO3_FR_ONT	above_max	6800	0.00900150775254855
PRMT_HO3_human_ONT	above_max	5264	0.0111340485295611
PRMT_GM3_GMS_MONT	below_min	23222	0.399552649690296
PRMT_GO1_GMS_ONT	above_max	5401	0.012726831440764
PRMT_GP3_GMS_PB	above_max	1873	0.00649431703917394
PRMT_HM1_human_MONT	above_max	3152	0.00758193517349209
PRMT_GO2_GMS_ONT	above_max	4726	0.0106749427966724
PRMT_LM2_canis_MONT	above_max	4411	0.00655219998544286
PRMT_HM3_human_MONT	above_max	2045	0.00770712183282518
PRMT_FP3_FR_PB	above_max	1695	0.00772132178096045
PRMT_FP1_FR_PB	above_max	1641	0.00752020970432424
PRMT_MP3_MCS_PB	above_max	1499	0.00711958431886619
PRMT_MO3_MCS_ONT	above_max	3328	0.0077032579133152
PRMT_MP1_MCS_PB	above_max	1432	0.00621231183028936
PRMT_GM1_GMS_MONT	above_max	3803	0.00835137710980425
PRMT_GP1_GMS_PB	above_max	1992	0.00732573790628057
PRMT_GP2_GMS_PB	above_max	1271	0.00670171312871402
PRMT_CP1_canis_PB	above_max	1727	0.00575068595327526
PRMT_CO1_canis_ONT	above_max	5191	0.0141408693188628
PRMT_CP3_canis_PB	above_max	2118	0.00599190329215197
PRMT_MM1_MCS_MONT	above_max	3951	0.00695999281276369
PRMT_FM2_FR_MONT	above_max	3181	0.00703316043388475
PRMT_LM3_canis_MONT	above_max	3928	0.00660058242410086
PRMT_HO2_human_ONT	above_max	6233	0.018927109523983
PRMT_MO2_MCS_ONT	above_max	3469	0.0107691782331594
PRMT_FP2_FR_PB	above_max	1526	0.00724630799183247
PRMT_HP3_human_PB	above_max	3200	0.00727338848986272
PRMT_CO3_canis_ONT	above_max	4020	0.0147670877613168
PRMT_FM1_FR_MONT	above_max	2551	0.00722679267518811
PRMT_MM2_MCS_MONT	above_max	4365	0.0128487788508806
PRMT_HP1_human_PB	above_max	2285	0.00794481396618326
PRMT_HP2_human_PB	above_max	1322	0.00770351378124818
PRMT_GM2_GMS_MONT	above_max	3030	0.00661102929144166
PRMT_HM2_human_MONT	above_max	2128	0.0074512934717145
PRMT_GM3_GMS_MONT	above_max	372	0.00640055058499656
PRMT_FM3_FR_MONT	above_max	2171	0.00749248508232761
