species	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
[Ruminococcus] gnavus	0.0207066346202757	0.0222984093676549	0.0195936053230409	0.0229513729768065	0.0251369998653258	0.0219430801082653	0.0198881176451163	0.0232191670567348	0.0183383523209791
[Ruminococcus] torques	0.00377583037556448	0.00518636409091918	0.00390782587582846	0.00401309442169216	0.00526435087212677	0.00429647519763083	0.00373479856842973	0.0047730779119752	0.00378825986856573
Agathobaculum butyriciproducens	0.00673320394011566	0.0067961913278628	0.00662867033177066	0.0075223140732902	0.00753150305630952	0.00785619717199711	0.00601358454913953	0.00717650282493246	0.00587053531716386
Alistipes putredinis	0.0050265751448946	0.0048869789161767	0.00539545565847357	0.00294981968608999	0.00292897583945286	0.00354500835372679	0.00523588595682716	0.00455381724709351	0.00635844270862862
Anaerobutyricum hallii	0.031745946956067	0.0352944268281294	0.0302365266308125	0.028987508042586	0.0306688587400917	0.0281712855307871	0.0377577994610384	0.0413105598977322	0.035775514737948
Anaerostipes hadrus	0.0157474420746412	0.0189741739239994	0.0148732229497656	0.0164770790522806	0.0205388222377794	0.0162249928926408	0.014778211016956	0.0201333524706759	0.0144870851326793
Anaerotignum lactatifermentans	0.00441537535325336	0.00439677179269437	0.00451238807713439	0.00504640394189176	0.00471750152064659	0.0056086982789009	0.00469924391084591	0.00474953351626027	0.00513437696255372
Bacteroides ovatus	0.0069825083513589	0.00721409263144917	0.00830458800427734	0.00771687170800314	0.00773076499684375	0.00945545943481743	0.0129490766815448	0.0117081093664163	0.0146778297264433
Bacteroides uniformis	0.0265644659608253	0.023154971531414	0.0301521495684829	0.0157545859934531	0.0158632729837704	0.018979285266491	0.0302955689257564	0.0254570127480786	0.0366671522654788
Barnesiella intestinihominis	0.00645281910205385	0.00580231782428599	0.00721927165570407	0.00368247113327861	0.00352458097426983	0.0042028937491421	0.00728841521505082	0.00666762353370998	0.00913175237874333
Bifidobacterium adolescentis	0.0180888204207025	0.0157253423768147	0.0154593735288607	0	0	0	0.0210599195628321	0.0180968134275517	0.0186978708981644
Blautia faecis	0.0592553421337859	0.0577426836941372	0.0552062460050126	0.062006252944709	0.0610782735025044	0.0577322471449315	0.0575705129384378	0.0567699536574653	0.0532350094947766
Blautia luti	0.0166106864619939	0.0169120516958388	0.0166137738105035	0.0183331028468311	0.0181060150263648	0.0182587457886143	0.0161913137555746	0.0165937097415125	0.0149039413461707
Blautia sp. SC05B48	0.195734674849583	0.200431570489212	0.184031760692124	0.200944139045318	0.203502004346946	0.185894038070327	0.187403437249526	0.19595282977118	0.170033564168511
Blautia stercoris	0.00690056764594018	0.00697018127621181	0.00609778315049028	0.00791553037865664	0.00762925335638523	0.00729784177928592	0.00745435874510373	0.00747750856076857	0.00695238214174911
Blautia wexlerae	0.142510316639709	0.139621582894157	0.140074865189412	0.147135315231634	0.145742911114687	0.143192336901072	0.13935556214723	0.137981444203672	0.130144403211631
Dorea longicatena	0.0298406747046204	0.0371802276700401	0.0288855255813865	0.0321478671263924	0.0402622507435521	0.0319003381272715	0.0284783442670574	0.0362339733303399	0.0276746681792736
Enterocloster bolteae	0.00880253832443412	0.00701580160482551	0.00822253599056509	0.00969110367348546	0.0083421989167437	0.00980964588190888	0.00896118479396976	0.00729096635849727	0.00866330450132337
Eubacterium coprostanoligenes	0.00403301193878366	0.00468529407201703	0.00353786529092398	0.00534249769370209	0.0048979753372814	0.0046193968976367	0.00371004345165735	0.00450162449927582	0.00345403113166161
Faecalibacterium prausnitzii	0.116524702327845	0.112206586767105	0.125877089235945	0.137959210508704	0.125525938723555	0.146537325285098	0.108141805123402	0.10302843368797	0.118748046116386
Fusicatenibacter saccharivorans	0.0141724343591084	0.0138979437007947	0.0135772334555701	0.0154875897999086	0.0144375147732574	0.0146537041026273	0.0135050772065159	0.0134251375762929	0.0124869644449262
Hungatella hathewayi	0.00937106628133161	0.0085996725162872	0.00939333060705042	0.0104355677859207	0.00969711595072429	0.0108853142772859	0.00921807835678469	0.00877580580798152	0.00873872627777036
Lachnoclostridium pacaense	0.00677420888381412	0.00693177600217719	0.00709068976373176	0.00747282994442708	0.00699457597410858	0.00747667422924629	0.00701018267406963	0.00587321507106882	0.00689151583243902
Lachnospiraceae bacterium GAM79	0.00868899832773677	0.00733046837428416	0.00797919498908484	0.00972923116629692	0.00849264077962302	0.0109590735010167	0.00968948735855768	0.00815511434247739	0.0107503566859505
Monoglobus pectinilyticus	0.00820978607253624	0.00737564394115179	0.0080628772413977	0.0109218286224848	0.00943310474601944	0.0101740491942181	0.00777821185175629	0.00728884135045777	0.00730380497659221
Phascolarctobacterium succinatutens	0.0248497227557382	0.0233024073343575	0.0267199759699496	0.0281623775998408	0.0244342453860841	0.0308359754796193	0.0234762874780224	0.0208309812367583	0.0245029703430071
Phocaeicola dorei	0.0407521193875584	0.0378159082799387	0.0487025361727456	0.0226160808590152	0.0232855021742472	0.0280050877397139	0.0435567574030862	0.0401101735356087	0.0537064023114253
Phocaeicola massiliensis	0.0257418338185434	0.0230929147158222	0.0298987613277622	0.0143801384791666	0.0149321710833622	0.0178954301770343	0.0281235235469506	0.0249481334568561	0.0361600693939092
