species	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Akkermansia muciniphila*	0	0.00726710249824942	0.00725587692659846	0.00788656766507257	0.00211535003754736	0.00213891421291331	0.00213745278779715	0.00601618088209768	0.00533238954757266	0.00612255844782775
Bacillus subtilis	0	0.00018970347886996	6.19752956936794e-05	0	6.3460501126421e-05	0	0.000121446181124838	0.000247919541844685	0	0.000145592754078507
Bacteroides fragilis*	0.100454775138959	0.0771849949412443	0.077707486138998	0.0826411611712391	0.0388378266897143	0.0380120856789507	0.0419718001967441	0.0859890672630892	0.0867575060461269	0.0943211811036021
Bifidobacterium adolescentis*	0.0887316826680141	0.0717741316830245	0.0772864326124561	0.0713986072657101	0	0	0	0.0894674222274424	0.105172144018093	0.0831195886942372
Bifidobacterium ruminantium	0	0.000230499027540156	0.00026373162208872	0	0	0	0	0.0002463960542269	0.000201536156506864	0.000182454968294737
Blautia glucerasea	0	0.00011873181132908	0	0	6.88583219621496e-05	0	0	0.000157665525451147	0	0.000146024383878169
Blautia sp. SC05B48	0	0.000109885169276468	0	0	0.00016135916168877	0	0	0.000197820815242021	0	0.000160670850916251
Blautia wexlerae	0	0.000116740634773097	0	0	0.000113526897450527	0	0	0.000297368452831168	0	0.000153071357032445
Clostridioides difficile*	0.026478019201617	0.0617306070631768	0.0582996839254234	0.0596946052521184	0.0563095105437879	0.0530886475733947	0.0570311266562241	0.0552777938466365	0.0505395551006993	0.0540149117631262
Enterococcus faecalis*	0	8.75554517861355e-05	0	0	0	0	0	0.000157015709834967	0	0
Escherichia coli*	0.122486104092976	0.0419731364423382	0.0429250432635299	0.047235506334424	0.145053973293477	0.151797103793114	0.154103059240718	0.0544183394349083	0.0541733026602928	0.0613782496242873
Faecalibacterium prausnitzii*	0.178170793329965	0.225625535015714	0.217843164363488	0.218558603909724	0.229696412863589	0.221876125473216	0.219440009431052	0.205930234113393	0.197475387736137	0.196059800308036
Fusobacterium nucleatum*	0.0756947953511875	0.0133862557397469	0.0130243467565486	0.0147663394580082	0.0264524522195298	0.0238085690774966	0.025904470433928	0.0232631170097592	0.02386598242199	0.0248197331821203
Laceyella sacchari	0	0.00168292606094002	0.00155414982187823	0.00151019380820538	0.00144900521883944	0.00171060680941279	0.0016516680632953	0.00154305898136346	0.00170345283641843	0.00149424142102304
Limosilactobacillus fermentum*	0.097321879737241	0.0503210070438675	0.051806579869478	0.0510948905109489	0.0525347181824888	0.0553894476931971	0.0507523590920699	0.0533688133744325	0.0587696051218674	0.0518310204519486
Peptacetobacter hiranonis	0	0.0001361973694451	9.53466087595067e-05	0	7.40372513141578e-05	5.51008345271804e-05	0.000315760070924579	0.000363615328038871	0	0.000298848284687462
Prevotella corporis*	0.0503284487114705	0.0435345163047729	0.0437068853561731	0.0474033056464468	0.0239087437691557	0.024124147189355	0.0237913068823558	0.0469146413017425	0.0458327683818694	0.0486739565214041
Roseburia hominis*	0.0999494694290046	0.0746312943095395	0.0831041041945813	0.0702240120815504	0.070891223506965	0.0780603849798216	0.0670515318424443	0.0696406005594242	0.0752551170884441	0.0649803449800201
Salmonella enterica*	0	0.000145925752976893	7.15099565696301e-05	0	0.000137497759663778	0.000120220002612174	0.000170024653574774	9.09038320097177e-05	0	0
Streptococcus alactolyticus	0	0.000145925752976893	0.000100113939197482	0	5.81721260325525e-05	8.01466684031715e-05	0.000267181598474644	0.000388407282223339	0	0.000245208848974328
Veillonella rogosae*	0.160384032339565	0.329427379489075	0.324893569348538	0.327586206896553	0.351560037581263	0.34941115083375	0.355290802869273	0.305428611563581	0.294921252883983	0.31175292595961
