species	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Bacillus halotolerans	0	0.00202905582762715	0.00311493447060428	0.0025080655080616	0.00129660199635975	0.00120487093483552	0.000826161183166079	0.00199554970371615	0.00225323517814384	0.00208235052076157
Bacillus mojavensis	0	0.00150174141159138	0.00161395568543375	0.00162629594864463	0.000969973691661949	0.00106673695046519	0.000973737494355666	0.00164985134641366	0.00165541040761648	0.00148418089812632
Bacillus subtilis*	0.174	0.335243336659008	0.370681818902483	0.334495515547776	0.293762288338184	0.331035222608418	0.300302226541845	0.33170748637844	0.335320930091473	0.332491900682236
Bacillus velezensis	0	0.00026523499814818	0.000319733116850375	0.00022161023066242	0.000272961302141476	0.000274367989381617	0.000286651406388225	0.000315551795282844	0.000238203052587293	0.000182442685968488
Blautia glucerasea	0	0.000178034449600996	0.000253157433148531	0.000195955535212593	0.000278005998920124	0.000190823041074086	5.26481166673224e-05	0.0003286025957667	0.00013602472762385	0.00063977882308702
Blautia sp. SC05B48	0	0.000371994315768373	0.000523154703663685	0.000498104734914662	0.000393649535833549	0.000351522858737768	0.00013452478852335	0.000582152315200711	0.000255616921959809	0.00120727415234359
Blautia wexlerae	0	0.000333426899623516	0.000442354102426778	0.000448517065055655	0.000396590044243959	0.000386869491288947	0.000365081810407802	0.000512326106447396	0.000185821983670502	0.000930659494566992
Enterococcus faecalis*	0.099	0.146217063466041	0.145559017233597	0.15171550522205	0.124028657027738	0.129591113668092	0.132661434112223	0.136931881780056	0.14165298529289	0.145127358590407
Escherichia coli*	0.101	0.0294616760603025	0.0388922546277989	0.0334012849304348	0.106582826191	0.105548559103494	0.110062272185573	0.0459237700162186	0.0361062673514517	0.0379755101840236
Faecalibacterium prausnitzii	0	0.00120129983193553	0.00156437644450328	0.00150055181251113	0.00141832090740529	0.00118500060353175	0.000348248835113691	0.00167152603398496	0.000719812701139698	0.00359030501538348
Limosilactobacillus fermentum*	0.184	0.123394029361495	0.10394436215755	0.108812398584226	0.102950786761899	0.0872399765602249	0.0884198910045832	0.125108789193788	0.131452966652668	0.112263497201722
Listeria monocytogenes*	0.141	0.149685989931838	0.132489464780934	0.145105850415357	0.127631993636309	0.117183720438199	0.119864497150625	0.135441692835303	0.132563439643884	0.132241653048031
Peptacetobacter hiranonis	0	0.000573207231001648	0.00087183352223305	0.000752550923872188	0.00078966716800689	0.00068329860748984	0.000197686275662912	0.000899662521100062	0.00037218256163368	0.00174778383442401
Pseudomonas aeruginosa*	0.042	0.00755762013697928	0.008848915716353	0.00705627396872373	0.00478891268295347	0.00450888492085255	0.00431597097190254	0.0138933680035313	0.0107919957061447	0.0111497365109336
Roseburia hominis	0	0.000254431926823571	0.000401172652968212	0.000350635422684949	0.000265002733307321	0.000196865267525609	0.000111117670753974	0.000473932425455737	0.000188423675610443	0.00089444632645082
Salmonella enterica*	0.104	0.0257892242642006	0.0340598119955075	0.0294097816494803	0.0931058787165282	0.0929043418111897	0.0920943334898675	0.0407669864768648	0.0322680174364669	0.0325934682402718
Shigella sonnei	0	0.000136671500760546	0.000291050922625188	0.000183384268494252	0.000386779645104754	0.000383881025100105	0.000396984932688029	0.000169734828065134	0.000200915134400421	0.000201375843121248
Staphylococcus aureus*	0.155	0.169878962387824	0.148944592449625	0.175001222295365	0.133137276127188	0.119956298886066	0.144820465260733	0.153333348601349	0.170220830265578	0.166964284020671
Streptococcus alactolyticus	0	0.000624454787867718	0.000710031040583113	0.000695513617888499	0.000798977435275755	0.000634899218826055	0.000201412629600259	0.000939196600527974	0.000377981518178507	0.00182846694440992
Veillonella rogosae	0	0.00095781369576378	0.00122121749227749	0.00107744630877601	0.00121051018132062	0.00104279881583265	0.000291388344877578	0.00142632360576502	0.000610406148959151	0.00294903500895098
