statistic	Detection_threshold_percent	Detection_threshold_ratio	level	primer	GS_version	mean	sd
Precision	1%	0.01	Species	PB	D6323	0.652173913043478	0
Recall	0.01%	1e-04	Species	MONT	D6323	0.367486338797814	0.00236618962782595
Recall	0.1%	0.001	Species	MONT	D6323	0.204918032786885	0
Recall	1%	0.01	Species	MONT	D6323	0.0614754098360656	0
Recall	0.01%	1e-04	Species	ONT	D6323	0.333333333333333	0.0023661896278265
Recall	0.1%	0.001	Species	ONT	D6323	0.17896174863388	0.0023661896278265
Recall	1%	0.01	Species	ONT	D6323	0.0669398907103825	0.00236618962782634
Recall	0.01%	1e-04	Species	PB	D6323	0.379781420765027	0.00626034931004898
Recall	0.1%	0.001	Species	PB	D6323	0.219945355191257	0.00853141803059856
Recall	1%	0.01	Species	PB	D6323	0.0614754098360656	0
Precision	0.01%	1e-04	Genus	MONT	D6323	0.474219317356572	0.00628921861862291
Precision	0.1%	0.001	Genus	MONT	D6323	0.690034675109302	0.00600590510690278
Precision	1%	0.01	Genus	MONT	D6323	0.714285714285714	0
Precision	0.01%	1e-04	Genus	ONT	D6323	0.484634502724331	0.00372806800986534
Precision	0.1%	0.001	Genus	ONT	D6323	0.683974358974359	0.00610658938565948
Precision	1%	0.01	Genus	ONT	D6323	0.789473684210526	0
Precision	0.01%	1e-04	Genus	PB	D6323	0.476575593609039	0.0138068356114844
Precision	0.1%	0.001	Genus	PB	D6323	0.659007540861366	0.0164376786478171
Precision	1%	0.01	Genus	PB	D6323	0.726190476190476	0.0206196524710582
Recall	0.01%	1e-04	Genus	MONT	D6323	0.656462585034014	0.00589132927744517
Recall	0.1%	0.001	Genus	MONT	D6323	0.469387755102041	0
Recall	1%	0.01	Genus	MONT	D6323	0.153061224489796	0
Recall	0.01%	1e-04	Genus	ONT	D6323	0.642857142857143	0
Recall	0.1%	0.001	Genus	ONT	D6323	0.448979591836735	0
Recall	1%	0.01	Genus	ONT	D6323	0.153061224489796	0
Recall	0.01%	1e-04	Genus	PB	D6323	0.653061224489796	0.010204081632653
Recall	0.1%	0.001	Genus	PB	D6323	0.465986394557823	0.0155869921597136
Recall	1%	0.01	Genus	PB	D6323	0.153061224489796	0
