species	Canis_lupus	FR	Homo_sapiens
Bifidobacterium pullorum	47.9872168848785		
Bifidobacterium saeculare	622.212927565052		
Blautia caecimuris	6237.38284383905	162.002168726692	5388.18353089013
Blautia coccoides	46.281950494549		
Blautia faecis	113.984448048917	38637.939302227	92796.5318428427
Blautia glucerasea	138107.857186324	7231.82004284196	1002.17466945348
Blautia hansenii	20655.2758816827	156.083443145352	
Blautia hominis	7490.78835207266	137.695093377875	127.674449177402
Blautia hydrogenotrophica		109.433766111346	
Blautia luti	18457.4612026771	35461.2164995031	27250.764516892
Blautia marasmi	1929.56563928056		
Blautia obeum		29071.3552751962	125.392464288838
Blautia producta	49641.5196544582	15731.9196931426	4349.72663662515
Blautia schinkii	2906.92283910031	83.0649971657094	
Blautia sp. N6H1-15	18188.3565099482	12.7537755495384	
Blautia sp. SC05B48	2019.60669249769	30651.3227044712	304815.723431694
Blautia sp. YL58	214.983020743807	82.6161366605982	
Blautia stercoris	504.272640660199	7140.82811262186	11580.7790850583
Blautia wexlerae	28089.9240397117	65894.3882643177	224753.076598896
Butyricicoccus faecihominis	54.6596486889773	2058.1348884816	256.269292215924
Butyricicoccus pullicaecorum	2066.31693515057	145.393839659643	
Butyricimonas faecalis		238.007088592711	
Butyricimonas phoceensis			322
Butyricimonas virosa		95.9929114072895	
Butyrivibrio crossotus		36.5756916606947	
Caecibacterium sporoformans	95.1019014090674	439.753971248572	
Caloranaerobacter azorensis		248.829999511102	
Campylobacter jejuni	301		
Candidatus Arthromitus sp. SFB-rat-Yit	96		
Candidatus Liberibacter americanus			411.849797142822
Caproiciproducens galactitolivorans		1226.36875107797	228.639219469658
Caproiciproducens sp. NJN-50		5003.290015637	2608.37502276358
Casaltella massiliensis			597.888629704731
Catabacter hongkongensis		1034.60052211775	200.40676966298
Christensenella massiliensis		11152.5910702025	488.878574607357
Christensenella minuta		2027.17706062517	280.356376220024
Christensenella sp. Marseille-P3954	502.126211700999	10103.0844489326	13
Christensenella timonensis		174.235893908322	25.4603054276446
Clostridiales bacterium		96.9905608161273	
Clostridiales bacterium CCNA10	616.238044259515	693.668235974707	1763.68214940762
Clostridioides difficile	31.0000000025632	12.8484282467045	
Clostridium beijerinckii		38.2603384320492	
Clostridium chartatabidum	136	815.593943114703	
