path	file.names	primer	rep	source	barcode	name	filename
emu/PRMT_HM1_human_MONT_20240807_bc28_pass.fastq_rel-abundance.tsv	PRMT_HM1_human_MONT_20240807_bc28_pass.fastq_rel-abundance.tsv	MONT	1	human	bc28	HM1	PRMT_HM1_human_MONT_20240807_bc28
emu/PRMT_HM2_human_MONT_20240807_bc29_pass.fastq_rel-abundance.tsv	PRMT_HM2_human_MONT_20240807_bc29_pass.fastq_rel-abundance.tsv	MONT	2	human	bc29	HM2	PRMT_HM2_human_MONT_20240807_bc29
emu/PRMT_HM3_human_MONT_20240807_bc30_pass.fastq_rel-abundance.tsv	PRMT_HM3_human_MONT_20240807_bc30_pass.fastq_rel-abundance.tsv	MONT	3	human	bc30	HM3	PRMT_HM3_human_MONT_20240807_bc30
emu/PRMT_HO1_human_ONT_20240807_bc13_pass.fastq_rel-abundance.tsv	PRMT_HO1_human_ONT_20240807_bc13_pass.fastq_rel-abundance.tsv	ONT	1	human	bc13	HO1	PRMT_HO1_human_ONT_20240807_bc13
emu/PRMT_HO2_human_ONT_20240807_bc14_pass.fastq_rel-abundance.tsv	PRMT_HO2_human_ONT_20240807_bc14_pass.fastq_rel-abundance.tsv	ONT	2	human	bc14	HO2	PRMT_HO2_human_ONT_20240807_bc14
emu/PRMT_HO3_human_ONT_20240807_bc15_pass.fastq_rel-abundance.tsv	PRMT_HO3_human_ONT_20240807_bc15_pass.fastq_rel-abundance.tsv	ONT	3	human	bc15	HO3	PRMT_HO3_human_ONT_20240807_bc15
emu/PRMT_HP1_human_PB_20240807_bc43_pass.fastq_rel-abundance.tsv	PRMT_HP1_human_PB_20240807_bc43_pass.fastq_rel-abundance.tsv	PB	1	human	bc43	HP1	PRMT_HP1_human_PB_20240807_bc43
emu/PRMT_HP2_human_PB_20240807_bc44_pass.fastq_rel-abundance.tsv	PRMT_HP2_human_PB_20240807_bc44_pass.fastq_rel-abundance.tsv	PB	2	human	bc44	HP2	PRMT_HP2_human_PB_20240807_bc44
emu/PRMT_HP3_human_PB_20240807_bc45_pass.fastq_rel-abundance.tsv	PRMT_HP3_human_PB_20240807_bc45_pass.fastq_rel-abundance.tsv	PB	3	human	bc45	HP3	PRMT_HP3_human_PB_20240807_bc45
emu/PRMT_LM1_canis_MONT_20240807_bc16_pass.fastq_rel-abundance.tsv	PRMT_LM1_canis_MONT_20240807_bc16_pass.fastq_rel-abundance.tsv	MONT	1	canis	bc16	LM1	PRMT_LM1_canis_MONT_20240807_bc16
emu/PRMT_LM2_canis_MONT_20240807_bc17_pass.fastq_rel-abundance.tsv	PRMT_LM2_canis_MONT_20240807_bc17_pass.fastq_rel-abundance.tsv	MONT	2	canis	bc17	LM2	PRMT_LM2_canis_MONT_20240807_bc17
emu/PRMT_LM3_canis_MONT_20240807_bc18_pass.fastq_rel-abundance.tsv	PRMT_LM3_canis_MONT_20240807_bc18_pass.fastq_rel-abundance.tsv	MONT	3	canis	bc18	LM3	PRMT_LM3_canis_MONT_20240807_bc18
emu/PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	MONT	1	MCS	bc19	MM1	PRMT_MM1_MCS_MONT_20240807_bc19
emu/PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	MONT	2	MCS	bc20	MM2	PRMT_MM2_MCS_MONT_20240807_bc20
emu/PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	MONT	3	MCS	bc21	MM3	PRMT_MM3_MCS_MONT_20240807_bc21
emu/PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	ONT	1	MCS	bc04	MO1	PRMT_MO1_MCS_ONT_20240807_bc04
emu/PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	ONT	2	MCS	bc05	MO2	PRMT_MO2_MCS_ONT_20240807_bc05
emu/PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	ONT	3	MCS	bc06	MO3	PRMT_MO3_MCS_ONT_20240807_bc06
emu/PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PB	1	MCS	bc34	MP1	PRMT_MP1_MCS_PB_20240807_bc34
emu/PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PB	2	MCS	bc35	MP2	PRMT_MP2_MCS_PB_20240807_bc35
emu/PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PB	3	MCS	bc36	MP3	PRMT_MP3_MCS_PB_20240807_bc36
