  0.00	1	0	G	2733138	            Toutatisvirus
  0.00	1	0	S	2734150	              Toutatisvirus toutatis
  0.00	1	1	S1	2070187	                Faecalibacterium phage FP_Toutatis
  0.00	1	0	G	2560128	            Eneladusvirus
  0.00	1	0	S	2560751	              Eneladusvirus BF
  0.00	1	1	S1	1962671	                Serratia phage BF
  0.00	10	0	D1	2732004	    Varidnaviria
  0.00	10	0	K	2732006	      Helvetiavirae
  0.00	10	0	P	2732009	        Dividoviricota
  0.00	10	0	C	2732010	          Laserviricetes
  0.00	10	0	O	2732011	            Halopanivirales
  0.00	10	0	F	2842322	              Matshushitaviridae
  0.00	10	10	G	2842743	                Hukuchivirus
