genus	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Akkermansia	338859	385	500	333	158	217	234.000000001464	215	173	164
Alistipes	745560	394	458	376	326	368	389	299	256	260
Anaerobutyricum	185814	2390.71520605495	3050.79397135936	1962.00000237624	3337.77466291781	4292.7681771351	4824.88804948982	1641.93543803108	1622.99999486649	1804.99999978032
Anaerostipes	312507	4339.90848942325	5572.4560071017	3573.70562370049	6429.18982240093	8457.96544651515	9512.14949513055	2567.64501776667	2541.91348440628	2594.37781387007
Bacteroides	5594940	2104.99999999995	2628.04935350242	1711.9999999873	1745.99999999908	2222.00000798791	2298.39184963696	1650.94921273307	1447	1274
Blautia	1871757	21044.38170007	28632.8614612026	17634.3511495966	32441.925846082	43889.7698410671	47727.8198049212	12903.3805525735	12838.0111858067	13451.9377337389
Clostridium	1509894	767.396147340137	950.490343454007	598.91284872	1310.23509950648	1780.34356487414	1917.95560267115	542.890007792151	516.408404541043	497.493019855194
Collinsella	219375	565.005042377719	766.997719381194	304	55	79.9999999999944	59	226	251	198
Coprococcus	248490	1456.70566521905	1980.07294923787	1118.30810982002	2187.97528177781	2878.4185626309	3192.86069201025	824.09376514666	869.092147992734	898.335170104406
Cuneatibacter	0	2747.5711892783	3452.49010066212	2197.08744489094	1373.76668644069	1561.18895103385	1853.74483284833	1881.64345769241	2077.5805589814	2190.49712816799
Dorea	371007	3078.89686650981	3969.13876198356	2390.08502469154	4406.47591865073	6022.22670412983	6312.90042747302	1741.02994140376	1676.9961523794	1735.96463127808
Eubacterium	791154	3208.81529498232	4273.93422726109	2683.70551911041	5124.54224933078	6861.89945337347	7113.284452301	1928.4655380672	1957.99815680747	2058.65765401227
Faecalibacterium	2453427	18296.0577509126	23233.4768734432	15378.4796773425	29881.7793216919	39716.0065994894	43493.0208120459	10890.7740423266	9827.44363642757	10886.0547593821
Fusicatenibacter	810396	6569.94528685722	8276.16156842448	5311.66595058382	9849.96614980412	12944.1528302026	14129.0004292698	3835.61879190637	3691.19254716372	3859.18700665934
Gemmiger	219420	7318.97819912074	9419.10132926884	6055.89992021636	12084.3900777722	16063.0782513783	17527.5442353385	4245.21024016949	3924.2241131186	4183.54818344817
Lachnobacterium	200295	36.6479742989496	59.0782127014407	39.5632907725885	66.2705238602283	86.8262122389127	126.41232105805	49.7601440237701	24.5321436310899	39.5484482658436
Lachnospira	0	3698.09086110871	5073.92569923001	3201.24885950659	6162.45763111329	8287.02563749132	8941.65297146129	2709.74412719857	2780.26357680167	2731.50359627435
Mediterraneibacter	17055	7379.43045584839	9543.10111674089	6225.20159628406	7567.11433908426	9756.37176708289	10893.3758199851	4645.19381395169	4495.89646886972	4863.60023667342
Megamonas	194553	1867	2432.00001714161	1551	3508.00000830355	4822.00016411453	5660.00097241873	1288	1190.99282752625	1347
missing	0	17767.027482771	22935.8620007954	14591.4187871765	28518.9329403391	37530.84917424	40665.2713953164	10763.400482148	10377.2178632567	10580.2618473343
Monoglobus	43371	2675.28533354929	3432.24306404046	2263.50455261023	4615.14557135757	6218.70242063034	7177.07282090504	1588.44922455722	1439.35258745276	1627.84028226653
Oscillibacter	398745	2027.55337557648	2607.67851674382	1718.0529955573	3411.84707566778	4527.58903717584	4854.867491011	1159.32760666977	1123.41074198748	1238.43442757367
Parabacteroides	530001	742	959.000000000001	604	568	697	743.000012149182	485	512	458.000000000144
Phocaeicola	0	4267.00000000005	5375.91152006566	3262.0000000127	3195.05719659913	4250.99999201398	4287.60814964307	2927	2825	2496
Roseburia	1043667	6890.39242836372	9003.61333131946	5700.99899723808	10344.5131413904	13602.9877915144	14945.9523942148	4256.50399316023	4120.81858792654	4241.81269838634
Ruminococcus	2812635	10414.0039816169	13996.9452358447	8579.96059565344	18330.5502991862	25800.7879337313	27184.6938474846	6050.05182365671	5816.26020391698	6228.93672484829
Subdoligranulum	794826	48.8694269892935	57.6164270967503	35.982431327827	92.8103510282539	183.61357344129	186.860360044031	18.6382962038227	25.1553362216726	16.7488360170571
unknown_Firmicutes	5834880	0	0	0	0	0	0	0	0	0
