phylum	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Actinobacteria	561465	3842.95245958513	4808.77199956517	2653.28647916544	564.211949247868	661.809390407397	635.555136146417	2417.71116609657	2569.18975241204	2128.12963854749
Bacteroidetes	7153713	17725.9551553967	21915.0857381783	13929.7112155984	14316.3752711653	18897.5448218055	19135.2286765229	12500.1184807214	12129.3614622685	10797.5522316599
Candidatus Melainabacteria	112185	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351
Cyanobacteria	0	0	0	0	14.1892131882266	27.9869765265298	35.488163642599	0	0	0
Euryarchaeota	84303	0	0	0	0	0	0	0	0	0
Firmicutes	21561489	328118.735632973	421112.510090439	270497.127566447	505688.647683205	675985.332004762	730952.579529709	201172.820885218	194229.369236254	204754.510775235
Fusobacteria	0	54.0651281381693	29.026583354737	26.034971853778	21.0154775261501	32.0190775468539	43.0227844445828	19.036749808188	0	17.0371233302268
Lentisphaerae	17289	124.149552760625	126.115500092995	97.1304719160177	118.084102756164	154.091810694235	182.096436486374	44.0851048189616	57.1104214759989	53.1157374412953
Proteobacteria	284616	1098.35597983113	1788.12273362525	911.471708231762	1019.87461160426	1415.58807910864	1594.92358590729	868.205771786565	561.089668435373	646.411237482476
Synergistetes	0	82.8991785227842	73.853888583086	56.3350355902038	75.0846817690339	122.487029391177	134.325485701708	21.0509416420296	37.0701019596464	37.3014288046965
Tenericutes	48960	83.9412463213214	125.296041903108	54.0726338501543	219.783211068103	312.168080110704	289.024962675893	91.4765537240311	93.1791017571968	59.0322298974481
unknown_Bacteria	125496	0	0	0	0	0	0	0	0	0
unknown_Viruses	6372	0	0	0	0	0	0	0	0	0
Verrucomicrobia	338859	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453
