genus	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Abyssivirga	0	20.9551722719922	23.5552981038483	20.0409136701835	19.6930797996442	32.5946492270783	33.4895675335264	15.96222065578	0	10.2809851699042
Acetivibrio	0	28.1141113077196	35.6489149024454	19.5177533554045	39.3421228071687	47.1298150577014	30.9379166561099	17.5744260659453	35.492514479084	26.2968210783291
Acetobacter	45999	0	0	0	0	0	0	0	0	0
Acholeplasma	0	50.9121023339089	62.9680501146133	32.0000000000032	131.274847862567	139.538988800102	139.255830959852	53.00765306434	54.9992632578847	26.9250023753746
Acinetobacter	17838	0	0	0	0	0	0	0	0	0
Actinomyces	4275	0	0	0	0	0	0	0	0	0
Adlercreutzia	26973	67	74	32	26	37.0013994894655	33	42	46	29
Agathobaculum	130023	725.202916753675	1021.24567660982	681.133228209723	1172.15949366493	1695.6044979799	1760.49080878486	477.639020039227	421.796017921378	442.770270431706
Akkermansia	338859	385	500	333	158	217	234.000000001464	215	173	164
Alistipes	745560	394	458	376	326	368	389	299	256	260
Amedibacillus	0	42.7175138114098	42.368073752059	47	114.600970593931	116.189116869425	102.313899656458	62.7140072957223	61.8584150489598	47.9156650694352
Aminipila	0	32.3449222558705	39.0761841235932	31.1442680850448	56.833467655927	77.608221307185	72.6969294342202	17.6219893681744	22.1893201126682	17.3483458043033
Anaerobacterium	0	0	11.5664784378109	14.0963276641525	15.6973178966533	26.3803519596751	19.0355742868298	0	0	0
Anaerobium	0	15.6759428046392	11.661234604742	0	16.7855387616224	22.0910542403438	22.806189812438	0	0	0
Anaerobutyricum	185814	2390.71520605495	3050.79397135936	1962.00000237624	3337.77466291781	4292.7681771351	4824.88804948982	1641.93543803108	1622.99999486649	1804.99999978032
Anaerocolumna	0	16.9321676808291	20.5039569229949	12.6915303511339	23.1934475615868	32.0388884468604	39.2311425303867	25.9846142278597	0	19.7717918162332
Anaeromassilibacillus	52317	1106.60782722755	1420.58142163445	980.157204910757	1878.37759044219	2649.21836741629	2802.82587570991	641.808257328176	581.202455513297	730.999818380654
Anaerostipes	312507	4339.90848942325	5572.4560071017	3573.70562370049	6429.18982240093	8457.96544651515	9512.14949513055	2567.64501776667	2541.91348440628	2594.37781387007
Anaerotaenia	0	13.9802393305375	20.1485242442638	15.1689449448732	22.6369957953042	41.8529166198839	27.8324461154397	0	0	0
Anaerotignum	22068	208.000000000897	248.000103992142	166.000000002461	338.004803089096	484.995065952789	445.009037152242	137.000000000003	123.000000000001	126.031377543679
Anaerotruncus	24885	158.647559286479	225.095970472212	141.75450885822	286.906658578556	355.030797095595	433.013954047624	106.630260972444	87.2672645183323	91.6068057898338
Anaerovorax	0	27.6241092863978	47.3737615195995	30.6273679611869	33.3569661639705	47.5890471162201	57.2782468206903	20.8210458950407	14.4632074561602	16.3161476743421
Asaccharobacter	48726	0	0	0	0	0	0	0	0	0
Bacillus	0	18	14	21	0	21	26	18	0	17
Bacteroides	5594940	2104.99999999995	2628.04935350242	1711.9999999873	1745.99999999908	2222.00000798791	2298.39184963696	1650.94921273307	1447	1274
Barnesiella	79218	84	127	74	74	96.2178587316952	77	65	64	55
Bifidobacterium	173439	933	1141	708	0	0	0	656	765	601
Bilophila	39807	0	0	0	0	0	0	0	0	0
Bittarella	6525	0	0	0	0	0	0	0	0	0
Blautia	1871757	21044.38170007	28632.8614612026	17634.3511495966	32441.925846082	43889.7698410671	47727.8198049212	12903.3805525735	12838.0111858067	13451.9377337389
