species	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
[Eubacterium] eligens	358920	0	0	0	0	0	0	0	0	0
[Eubacterium] rectale	639342	7752.184526838	10220.4171919981	6296.68101149389	11525.5016647625	15471.5400866619	16441.855139249	4571.00550574889	4588.20579160178	4602.12597550882
[Eubacterium] siraeum	1306530	6466.99006230909	8324.99443303827	5550.00009995699	11169.7541473229	14870.737333242	16071.3999006994	3645.00000538441	3369.99992274645	3589
[Ruminococcus] faecis	0	5589.73308186843	7271.36942194046	4742.4276143472	4956.06641914421	6319.81951369997	7025.62622748125	3647.39109605567	3476.16683655932	3823.78885374253
Anaerobutyricum hallii	154566	2390.71520605495	3050.79397135936	1962.00000237624	3337.77466291781	4292.7681771351	4824.88804948982	1641.93543803108	1622.99999486649	1804.99999978032
Anaerostipes hadrus	312507	4339.90848942325	5572.4560071017	3573.70562370049	6429.18982240093	8457.96544651515	9512.14949513055	2567.64501776667	2541.91348440628	2594.37781387007
Bacteroides ovatus	417357	109.204051857169	146.13584345365	80.1856044094264	187.000479116103	242.092196915417	274.002031489287	153.027928654849	121.29670160543	113.167332913344
Bacteroides uniformis	723168	539.000008020476	691	425.084065792437	416	539.000000049313	539.391849636112	387.94921260613	331.999997711931	320
Bacteroides vulgatus	2178630	0	0	0	0	0	0	0	0	0
Blautia faecis	0	3646.12701449661	4908.33891324467	3043.3243834187	5255.32726655448	7371.19511996105	7855.79004717027	2198.99820181376	2094.09860350274	2264.73975206469
Blautia luti	0	3302.85258289116	4316.25165747942	2690.79914997102	4873.99418082477	6847.75386054353	7402.73702179057	1950.51462741438	2028.67745995466	2047.6359586336
Blautia obeum	572139	2632.67488209175	3754.78082291413	2282.35719427895	4092.50742174139	5471.27517917445	5994.77262745917	1602.70820608988	1579.67215974811	1660.60678169835
Blautia sp. SC05B48	0	2697.15010521816	3882.52715998344	2335.08001275934	4294.41621636202	5794.96973426599	6284.80056104492	1748.93986663044	1778.79382613051	1834.64522207639
Blautia wexlerae	481824	6098.98952435197	8182.19967222154	5089.63205089955	9353.06791244964	12387.9573829829	13640.557245829	3695.58387552745	3637.55390013775	3808.84669991795
Cuneatibacter caecimuris	0	2747.5711892783	3452.49010066212	2197.08744489094	1373.76668644069	1561.18895103385	1853.74483284833	1881.64345769241	2077.5805589814	2190.49712816799
Faecalibacterium prausnitzii	1903347	18296.0577509126	23233.4768734432	15378.4796773425	29881.7793216919	39716.0065994894	43493.0208120459	10890.7740423266	9827.44363642757	10886.0547593821
Firmicutes bacterium AF25-13AC	404010	0	0	0	0	0	0	0	0	0
Fusicatenibacter saccharivorans	810396	6569.94528685722	8276.16156842448	5311.66595058382	9849.96614980412	12944.1528302026	14129.0004292698	3835.61879190637	3691.19254716372	3859.18700665934
Gemmiger formicilis	219420	7318.97819912074	9419.10132926884	6055.89992021636	12084.3900777722	16063.0782513783	17527.5442353385	4245.21024016949	3924.2241131186	4183.54818344817
Lachnospira eligens	0	3535.60865530426	4792.45902822284	3036.3244236478	5921.71974602722	7934.32664241915	8586.6353753092	2565.08091013356	2628.84407474675	2582.80797014398
Lachnospiraceae bacterium GAM79	141975	2867.02414317673	3542.13998602399	2254.72426467418	4633.37774245127	5701.29224559241	6561.12423586148	1984.06254210958	1820.43238897767	1885.39524182337
Monoglobus pectinilyticus	43371	2675.28533354929	3432.24306404046	2263.50455261023	4615.14557135757	6218.70242063034	7177.07282090504	1588.44922455722	1439.35258745276	1627.84028226653
Parabacteroides distasonis	364716	194.856816426017	230.724756964013	162.324304325653	161.334500671021	181.558279525964	200.643154097552	121.415442162744	125.898423505912	109.446143765754
Roseburia faecis	355599	0	0	0	0	0	0	0	0	0
Roseburia hominis	158391	6890.39242836372	9003.61333131946	5700.99899723808	10344.5131413904	13602.9877915144	14945.9523942148	4256.50399316023	4120.81858792654	4241.81269838634
Ruminococcus bicirculans	309528	2503.35558490644	3327.98465147767	2132.91225165385	4510.03273843454	6216.48516263306	6624.41115869402	1425.05181825454	1364.46520613648	1446.99841329127
Ruminococcus bromii	948321	5637.99999971412	7723.96123408663	4514.99999996258	10128.0362480463	14601.5886981849	15138.239023774	3271.0000054028	3192.60520978421	3428
uncultured Clostridiales bacterium	994464	0	0	0	0	0	0	0	0	0
uncultured Faecalibacterium sp.	550080	0	0	0	0	0	0	0	0	0
uncultured Ruminococcus sp.	524754	0	0	0	0	0	0	0	0	0
unknown_Clostridium	1124100	0	0	0	0	0	0	0	0	0
unknown_Ruminococcus	884286	0	0	0	0	0	0	0	0	0
unknown_Subdoligranulum	775584	0	0	0	0	0	0	0	0	0
