superkingdom	phylum	class	order	family	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0.596307651743581	10.8275449101796	0.599045558350434	12.4034057267366	36.5738921404682	30.4283670601854	5.30120136990741	1.7714003607283	8.98041559547397
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	1	0	3	1	2	0	12	10	10	6	7	7	5	6	8	5	2	2	1	0	3	1	3	0	5.96307651743581	16.8428476380572	4.79236446680347	18.6051085901049	29.7550308939403	25.460470397298	7.06826849320988	4.13326750836604	11.973887460632
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	0	0	0	0	0	0	20.8050943135612	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	7	3	5	4	5	4	3	3	0	1	0	0	0	0	0	0	0	54.8603039604094	61.9576180971391	37.1408246177269	23.5664708807996	24.1759626013265	20.4925737344106	35.9303648404836	28.3424057716528	22.1516918021691
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	255100000	255100000	255100000	1294.04699403583	1734.06555832523	701.942456285146	158.492512204235	194.914446562891	179.42318000581	508.929458137138	554.071667267922	488.061991989669	1043	1372	574	139	173	155	422	450	400	1295	1735	716	169	204	185	527	561	493	1240	1651	677	163	198	178	504	537	462	1292.79498898008	1778.7250166334	730.236535629179	171.166999028965	197.746976149311	190.022047355444	508.915331511112	560.352980777052	474.764637814057
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	1.114e+09	1.114e+09	1.114e+09	411.481081433515	578.912681467318	326.598563892481	331.145627168745	409.773761662368	391.627213240645	323.687122863579	345.238437051619	276.728522808558	291	388	230	223	255	231	232	237	202	359	487	268	254	305	279	286	293	235	292	389	230	223	255	231	232	238	203	393.563050150763	555.813972055888	272.565729049447	233.804197948985	345.282337665098	300.557748104689	298.634343838118	316.490197783456	236.484277347481
Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78892295523074	0.601530272787758	0.599045558350434	1.86051085901049	4.33927533869962	4.96789666288742	0	0	0.598694373031598
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	26042500000	26042500000	26042500000	4725.33165705282	5702.86679298522	3765.56516146132	3856.29594576198	5149.28034315147	5146.73562445583	3514.4563302795	3355.13432837852	2890.94673304321	4316	5294	3482	3453	4542	4564	3157	3002	2603	4757	5752	3798	3871	5174	5175	3541	3381	2910	4438	5420	3590	3602	4742	4791	3282	3107	2703	4405.52093108157	5067.89254823686	3362.44271902098	3966.60915141037	5522.03781673374	5479.59001916482	3446.36991281425	3386.3270229256	2839.60741128887
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	880200000	880200000	880200000	221.258082746979	288.264000212561	170.229129726357	185.126954906922	204.264928635893	210.111272868893	149.288195864211	153.296394488208	136.296986641847	220	286	168	180	206	206	147	156	139	222	289	169	184	210	210	152	161	145	221	286	168	181	206	209	148	156	139	135.361836945793	182.865202927478	103.035836036275	122.793716694692	140.716500269259	134.13320989796	96.0106470327676	106.284021643698	99.9819602962769
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	2.115e+09	2.115e+09	2.115e+09	767.925103645237	970.870124939048	583.784176567406	1282.91340555607	1598.33743417665	1766.9538143553	493.555740657504	497.962794711674	492.072209083124	683	842	516	1237	1534	1688	443	431	428	767	975	581	1287	1603	1767	492	497	490	755	956	564	1277	1587	1748	485	485	484	620.159957813324	825.299534264804	472.047899980142	886.843509461668	1109.61469375319	1233.90133364466	381.0974762589	409.783950115147	400.526535558139
