superkingdom	phylum	class	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Archaea	Euryarchaeota	Methanobacteria	936700000	936700000	936700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	0	0	0	0	3	2	0	1	1	0	0	0	0	3	2	0	1	1	0	0	0	0.599045558350434	4.34119200435781	5.5790682926138	1.24197416572185	0.589022374434157	2.36186714763773	1.1973887460632
Bacteria	Actinobacteria	Actinobacteria	1927100000	1927100000	1927100000	2137.42438411578	2495.79375977262	1624.74545898782	74.5738098748885	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926	461	554	360	29	29	31	327	360	293	2137	2505	1635	78	110	108	1590	1672	1366	1054	1172	776	51	69	69	738	804	683	6107.9792768095	7400.62694610779	4791.76542124512	248.688284821069	372.55778265121	381.286068876609	4593.78549821199	4698.93469022527	3927.43508708728
Bacteria	Actinobacteria	Coriobacteriia	1369100000	1369100000	1369100000	1705.52807546935	2312.97823979255	1028.54102017763	489.638139372979	604.688208225258	571.050393246456	832.616581000717	899.310104319541	764.790514798226	1334	1760	804	362	428	386	654	687	602	1654	2222	984	423	509	464	813	854	728	1532	2040	907	386	453	409	736	775	665	1686.35803913085	2334.53898868929	1002.80226467863	404.97119697795	543.02931381441	490.579795460132	807.549675349229	876.843178560509	711.248915161539
Bacteria	Actinobacteria	Rubrobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78892295523074	0.601530272787758	0.599045558350434	1.86051085901049	4.33927533869962	4.96789666288742	0	0	0.598694373031598
Bacteria	Bacteroidetes	Bacteroidia	43051600000	43051600000	43051600000	17749.9692540604	21915.0857381783	13947.7364142048	14316.3752711653	18897.5448218056	19150.2366245849	12513.1455224684	12129.3614622685	10797.5522316598	10133	12537	8187	8689	11216	11597	7298	6870	6278	17742	21924	13949	14326	18908	19173	12509	12136	10800	14676	18104	11607	12000	15649	15985	10461	9965	8928	26663.3003400625	33162.9654690619	20522.1027379691	21517.4282547427	29071.2850798566	28927.4412809106	18224.3522649928	18339.3079346201	16154.5702675116
Bacteria	Bacteroidetes	Cytophagia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	3	4	1	0	1	0	0	0	0	0	0	0	0	0	1.78892295523074	0.601530272787758	0	5.58153257703148	2.47958590782835	1.86296124858278	0	0.590466786909434	1.1973887460632
Bacteria	Candidatus Melainabacteria	unassigned	0	0	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351	687	949	584	1234	1691	1738	428	397	426	689	951	585	1239	1701	1750	430	397	429	689	951	585	1238	1699	1748	430	397	429	415.030125613532	576.86753160346	352.837833868405	779.554049925396	1067.46173332011	1101.63108499528	256.813755253292	235.596247976864	258.63596914965
Bacteria	Cyanobacteria	Gloeobacteria	0	0	0	0	0	0	14.1892131882266	13.9788906062282	19.479697332796	0	0	0	15	22	17	53	52	60	14	8	16	16	22	17	54	55	61	14	8	16	16	22	17	53	52	60	14	8	16	13.7150759901024	14.4367265469062	11.3818656086582	40.311068611894	39.6733745252537	39.1221862202384	8.2463132420782	5.3142010821849	9.57910996850557
Bacteria	Cyanobacteria	unassigned	0	0	0	0	0	0	0	14.0080859203015	16.008466309803	0	0	0	35	42	25	41	54	65	16	17	27	41	46	29	56	69	79	20	22	27	35	42	25	41	54	65	16	17	27	38.7599973633327	38.4979374584165	31.1503690342225	73.180093787746	81.8263349583357	83.8332561862252	11.191425114249	19.4854039680113	22.1516918021691
