run_accession	study_accession	sample_accession	secondary_sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	read_count	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR14250986	PRJEB85420	SAMEA117659008	ERS23137325	ERX13652048	1306859	mixed culture metagenome	OXFORD_NANOPORE	58120	MinION sequencing: Raw reads: BACMIX_PRMT_GM3_GMS_MONT_20240807_bc24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/086/ERR14250986/ERR14250986.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250986/PRMT_GM3_GMS_MONT_20240807_bc24_pass.fastq.gz		BACMIX_PRMT_GM3_GMS_MONT_20240807_bc24	PRMT_GM3_GMS_MONT_20240807_bc24	ftp.sra.ebi.ac.uk/vol1/err/ERR142/086/ERR14250986/ERR14250986.bam
ERR14250999	PRJEB85420	SAMEA117659015	ERS23137332	ERX13652061	1306859	mixed culture metagenome	OXFORD_NANOPORE	271918	MinION sequencing: Raw reads: BACMIX_PRMT_GP1_GMS_PB_20240807_bc37	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/099/ERR14250999/ERR14250999.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250999/PRMT_GP1_GMS_PB_20240807_bc37_pass.fastq.gz		BACMIX_PRMT_GP1_GMS_PB_20240807_bc37	PRMT_GP1_GMS_PB_20240807_bc37	ftp.sra.ebi.ac.uk/vol1/err/ERR142/099/ERR14250999/ERR14250999.bam
ERR14251000	PRJEB85420	SAMEA117659016	ERS23137333	ERX13652062	1306859	mixed culture metagenome	OXFORD_NANOPORE	189653	MinION sequencing: Raw reads: BACMIX_PRMT_GP2_GMS_PB_20240807_bc38	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR14251000/ERR14251000.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251000/PRMT_GP2_GMS_PB_20240807_bc38_pass.fastq.gz		BACMIX_PRMT_GP2_GMS_PB_20240807_bc38	PRMT_GP2_GMS_PB_20240807_bc38	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR14251000/ERR14251000.bam
ERR14251001	PRJEB85420	SAMEA117659017	ERS23137334	ERX13652063	1306859	mixed culture metagenome	OXFORD_NANOPORE	288406	MinION sequencing: Raw reads: BACMIX_PRMT_GP3_GMS_PB_20240807_bc39	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR14251001/ERR14251001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251001/PRMT_GP3_GMS_PB_20240807_bc39_pass.fastq.gz		BACMIX_PRMT_GP3_GMS_PB_20240807_bc39	PRMT_GP3_GMS_PB_20240807_bc39	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR14251001/ERR14251001.bam
ERR14294189	PRJEB85420	SAMEA117664631	ERS23179866	ERX13695287	9615	Canis lupus familiaris	OXFORD_NANOPORE	246077	MinION sequencing: Raw reads: Canfam_PRMT_LM1_canis_MONT	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/089/ERR14294189/ERR14294189.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294189/PRMT_LM1_canis_MONT_20240807_bc16_pass.fastq.gz		Canfam_PRMT_LM1_canis_MONT	PRMT_LM1_canis_MONT_20240807_bc16	ftp.sra.ebi.ac.uk/vol1/err/ERR142/089/ERR14294189/ERR14294189.bam
ERR14250963	PRJEB85420	SAMEA117659009	ERS23137326	ERX13652025	9606	Homo sapiens	OXFORD_NANOPORE	352992	MinION sequencing: Raw reads: BACMIX_PRMT_FM1_FR_MONT_20240807_bc25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/063/ERR14250963/ERR14250963.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250963/PRMT_FM1_FR_MONT_20240807_bc25_pass.fastq.gz		BACMIX_PRMT_FM1_FR_MONT_20240807_bc25	PRMT_FM1_FR_MONT_20240807_bc25	ftp.sra.ebi.ac.uk/vol1/err/ERR142/063/ERR14250963/ERR14250963.bam
ERR14250987	PRJEB85420	SAMEA117658997	ERS23137314	ERX13652049	1306859	mixed culture metagenome	OXFORD_NANOPORE	424379	MinION sequencing: Raw reads: BACMIX_PRMT_GO1_GMS_ONT_20240807_bc07	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/087/ERR14250987/ERR14250987.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250987/PRMT_GO1_GMS_ONT_20240807_bc07_pass.fastq.gz		BACMIX_PRMT_GO1_GMS_ONT_20240807_bc07	PRMT_GO1_GMS_ONT_20240807_bc07	ftp.sra.ebi.ac.uk/vol1/err/ERR142/087/ERR14250987/ERR14250987.bam
ERR14250989	PRJEB85420	SAMEA117658999	ERS23137316	ERX13652051	1306859	mixed culture metagenome	OXFORD_NANOPORE	191637	MinION sequencing: Raw reads: BACMIX_PRMT_GO3_GMS_ONT_20240807_bc09	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/089/ERR14250989/ERR14250989.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250989/PRMT_GO3_GMS_ONT_20240807_bc09_pass.fastq.gz		BACMIX_PRMT_GO3_GMS_ONT_20240807_bc09	PRMT_GO3_GMS_ONT_20240807_bc09	ftp.sra.ebi.ac.uk/vol1/err/ERR142/089/ERR14250989/ERR14250989.bam
ERR14251003	PRJEB85420	SAMEA117659004	ERS23137321	ERX13652065	1306859	mixed culture metagenome	OXFORD_NANOPORE	339721	MinION sequencing: Raw reads: BACMIX_PRMT_MM2_MCS_MONT_20240807_bc20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR14251003/ERR14251003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251003/PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq.gz		BACMIX_PRMT_MM2_MCS_MONT_20240807_bc20	PRMT_MM2_MCS_MONT_20240807_bc20	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR14251003/ERR14251003.bam
ERR14251005	PRJEB85420	SAMEA117658994	ERS23137311	ERX13652067	1306859	mixed culture metagenome	OXFORD_NANOPORE	323460	MinION sequencing: Raw reads: BACMIX_PRMT_MO1_MCS_ONT_20240807_bc04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR14251005/ERR14251005.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251005/PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq.gz		BACMIX_PRMT_MO1_MCS_ONT_20240807_bc04	PRMT_MO1_MCS_ONT_20240807_bc04	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR14251005/ERR14251005.bam
ERR14251007	PRJEB85420	SAMEA117658995	ERS23137312	ERX13652069	1306859	mixed culture metagenome	OXFORD_NANOPORE	322123	MinION sequencing: Raw reads: BACMIX_PRMT_MO2_MCS_ONT_20240807_bc05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR14251007/ERR14251007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251007/PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq.gz		BACMIX_PRMT_MO2_MCS_ONT_20240807_bc05	PRMT_MO2_MCS_ONT_20240807_bc05	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR14251007/ERR14251007.bam
ERR14251008	PRJEB85420	SAMEA117658996	ERS23137313	ERX13652070	1306859	mixed culture metagenome	OXFORD_NANOPORE	432025	MinION sequencing: Raw reads: BACMIX_PRMT_MO3_MCS_ONT_20240807_bc06	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR14251008/ERR14251008.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251008/PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq.gz		BACMIX_PRMT_MO3_MCS_ONT_20240807_bc06	PRMT_MO3_MCS_ONT_20240807_bc06	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR14251008/ERR14251008.bam
ERR14251009	PRJEB85420	SAMEA117659012	ERS23137329	ERX13652071	1306859	mixed culture metagenome	OXFORD_NANOPORE	230510	MinION sequencing: Raw reads: BACMIX_PRMT_MP1_MCS_PB_20240807_bc34	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR14251009/ERR14251009.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251009/PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq.gz		BACMIX_PRMT_MP1_MCS_PB_20240807_bc34	PRMT_MP1_MCS_PB_20240807_bc34	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR14251009/ERR14251009.bam
ERR14294201	PRJEB85420	SAMEA117664633	ERS23179868	ERX13695299	9615	Canis lupus familiaris	OXFORD_NANOPORE	595099	MinION sequencing: Raw reads: Canfam_PRMT_LM3_canis_MONT	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR14294201/ERR14294201.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294201/PRMT_LM3_canis_MONT_20240807_bc18_pass.fastq.gz		Canfam_PRMT_LM3_canis_MONT	PRMT_LM3_canis_MONT_20240807_bc18	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR14294201/ERR14294201.bam
