superkingdom	phylum	class	order	family	genus	species	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	0	0	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285	22	9	11	85	44	57	80	40	53	120.074873621986	65.3429302657203	83.3428718385663
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium faecale	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	1	4	2	1	4	2	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	1	5	1	0	5	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	0	0	0	10.0081823266592	13.0122899746877	0	0	0	0	0	0	11.0156595185496	11	15	9	11	16	10	11	15	9	3.66640835486979	5.11903140330528	3.05285244829913
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	Raoultibacter timonensis	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	2	5	0	2	5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	2	3	1	2	3	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecis	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	2	2	0	2	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	0	0	0	90.0556128492727	78.0771445987844	111.079792932462	85.1909482844608	61.0625904647027	29.3300471846137	73.1538572054727	37.0325390417476	116.165136639294	62	50	72	91	76	105	89	75	104	37.5806856374153	31.3164274084558	44.5716457451673
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	0	0	0	11.0070842493145	0	22.233826970561	0	0	0	0	0	21.0298953758642	2	2	12	7	4	17	4	2	15	5.80514656187716	3.31231443743283	10.379698324217
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	0	3	1	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	4	5	2	1	2	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	0	0	0	19.0117282916377	21.0197736692343	32.8054770987052	23.026059257026	10.7074922084951	0	18.027151799687	0	27.0384370687171	18	18	31	21	19	32	18	18	31	7.02728268016709	6.32350938055358	10.379698324217
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74980626615234	2.71007544880868	4.5792786724487
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis	0	0	0	0	0	10.0071498353371	0	0	0	0	0	0	5	5	10	5	5	10	5	5	10	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	0	0	0	18.0111293833417	20.0188658110235	14.9546156330329	10.0113301117842	11.0112852780422	0	0	0	22.0313190367841	15	18	12	16	19	15	16	19	15	6.72174865059461	6.32350938055358	6.71627538625809
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella corporis	0	0	0	64.0395058244133	50.0472811447934	53.0378941272801	42.0519004354887	43.0630498793732	0	43.1073146642182	20.0175886712149	64.0911099261065	68	52	52	68	52	53	68	52	52	22.3039841587912	15.6582137042279	16.4854032208153
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellamassilia	Prevotellamassilia timonensis	0	0	0	16.0098767295307	10.0094329055118	24.0171596048091	12.0135961341411	0	0	0	0	20.0284718519083	19	12	27	19	12	27	19	12	27	6.11068059144965	3.6134339317449	8.85327210006748
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	4	1	4	4	1	4	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	0	0	0	0	0	0	0	0	0	0	0	0	2	1	9	2	1	10	2	1	10	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	6	1	2	4	1	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	Phocaeicola dorei	0	0	0	43.0147882789601	23.0329107008035	39.0285304332699	30.0125329301487	23.0782420980257	0	31.0516683557425	21.0184681047757	37.0526729260303	13	7	11	15	8	11	14	7	11	25.0537904249435	16.5615721871641	21.064681893264
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	Phocaeicola massiliensis	0	0	0	19.0117206233139	13.0123350073658	21.0125440320102	19.0215272123901	14.0143630833479	0	14.0211028110159	12.0105532027295	21.0298954445037	21	16	21	21	16	21	21	16	21	6.72174865059461	5.72127039192943	7.021560631088
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	Phocaeicola plebeius	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	5	3	0	5	3	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	Phocaeicola vulgatus	0	0	0	15.0092591776706	0	0	0	0	0	0	0	0	3	2	2	36	19	26	13	5	7	28.7201987798133	15.6582137042279	22.2858228725837
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	unassigned	Vampirovibrio	Vampirovibrio chlorellavorus	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	3	2	2	3	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens	0	0	0	90.6309549976368	56.6413759615409	78.2068268595451	53.3073773609854	51.2882694612226	28.2936484275621	34.4722004435202	62.1120931971057	25.0371193765818	363	219	291	27769	18556	24493	365	219	291	9569.93687426929	6285.56832427025	8411.21906555376
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus atrophaeus	0	0	0	0	0	0	0	0	0	0	0	0	50	27	37	81	51	58	50	27	37	690.50690683381	437.526625235445	584.315958604453
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus gibsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018.65045459466	680.228937650978	904.865465675862
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus glycinifermentans	0	0	0	0	0	0	0	0	0	0	0	0	10	7	13	10	7	13	10	7	13	37.2751516078428	23.4873205563419	28.6968130140118
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans	0	0	0	1151.16248414965	1057.66974024173	1274.20508187495	419.304212168029	387.953982565813	356.886760226434	459.748709590068	751.368308974246	437.941161083508	2013	1428	2065	2018	1430	2065	2014	1428	2065	22600.0466334469	14403.7498909238	20204.3880733333
