phylum	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Actinobacteria	79.02	14803	16267	1702	0	0	0	10856.00000881	8932	10871.0000000045
Bacteroidetes	134.28	24818	25467.9999791949	3100	11889.9999943501	12404.5047124323	5415	16082.2790623047	11239.0146118892	18661.0084552016
Firmicutes	500.76	153047.000090772	154753.000020775	17370	144275.001037869	151656.28236358	61913.9999990579	83929.7209288863	57526.9853881117	88921.0685905794
Fusobacteria	67.41	2752	2732	352	5002	4752.99987921734	2133	2814.99999999996	2023	3239
Proteobacteria	109.08	8669.9999092176	9019	1126	27526.9989677894	30393.2130448057	12703.0000009396	6596	4591.99999999975	8009.92295421942
Verrucomicrobia	0	1494.00000000004	1522	188	400	426.999999980769	176	728	452	799
