species	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Fusicatenibacter saccharivorans	9.1986027293582e-05	8.41524474359061e-05	0	6.22068823158987e-05	4.6552858982019e-05	0.000109812560788191	0.000272827551277116	0	0.000135891481510876
Fusobacterium nucleatum	0.0131981003448036	0.0129896675347034	0.0150863929021456	0.0263430318554046	0.0237709880918975	0.026511021651055	0.0233673988303557	0.0235920438535734	0.0246383201420254
Fusobacterium varium	3.95890390141777e-05	0	0	0	0	0	7.37482289494698e-05	0	0
Gemmiger formicilis	7.43132009444213e-05	6.55516492238117e-05	0	4.49606187622455e-05	5.45351614537719e-05	0.000104583600083946	0.000105386599994442	0	9.39689289160671e-05
Hungateiclostridium clariflavum	3.23444400204277e-05	0	0	0	0	0	0	0	6.01846647729488e-05
Hungatella hathewayi	0	0	0	0	0	0	7.46352252305869e-05	0	0
Hydrogenoanaerobacterium saccharovorans	4.61630528006022e-05	2.82898924527352e-05	0	0	4.0912680886053e-05	0	0	0	0
Laceyella sacchari	0.000908831277946977	0.000880058876767775	0.000778134259254949	0.000788417576336816	0.000842920628008818	0.00097677854622288	0.00085018384573081	0.000870301919950562	0.000795406505771771
Lachnospira eligens	0.000118530317538234	5.16521951491378e-05	0	6.23153921238108e-05	5.3571248584762e-05	0.000142965866599658	0.000170192575760606	0	0.000146481366381115
Lachnospiraceae bacterium GAM79	7.49739544988089e-05	5.13303215672142e-05	0	3.88791439557628e-05	3.17111938944145e-05	0.000114980931773295	0.000144382562378802	0	7.60052983382351e-05
Lacrimispora amygdalina	4.03141908430704e-05	0	0	0	0	0	0	0	0
Lacrimispora saccharolytica	6.01594068824839e-05	0	0	0	0	0	8.72200825661255e-05	0	0.000100000694951284
Lactobacillus agilis	3.29874779533681e-05	2.40346273431026e-05	0	0	0	0	8.47985665355351e-05	0	3.82272183711637e-05
Lactobacillus animalis	8.93533090799134e-05	4.15143563200002e-05	0	4.48141745045236e-05	4.29526074499361e-05	0.000109812534316416	0.000199727709712305	0	7.99296384126313e-05
Lactobacillus rogosae	4.68867548465875e-05	0	0	0	0	0	6.93145777837006e-05	0	0
Lactobacillus salivarius	0	0	0	0	0	0	5.16165187607678e-05	0	0
Limosilactobacillus fermentum	0.0504582799203161	0.0521260636208769	0.0487977496630775	0.052126216213878	0.0555008399540825	0.0500247068228986	0.0530721788802614	0.0584001966746957	0.0515073316012679
Listeria monocytogenes	0.000333536577438424	0.000148732649115085	0	0.000127370275849628	0.000163292599673192	0.000261459161917799	0.000586246801229012	0.000179677433522176	0.000438552360299407
Megamonas funiformis	8.35446766362286e-05	5.17623020311647e-05	0	3.05972107099236e-05	4.06868165552969e-05	6.27500148625753e-05	0.000143813002125641	0	0.000135251240815091
Megamonas rupellensis	0.000136371843052892	6.00511831151038e-05	0	5.19552159776238e-05	5.65165887602328e-05	0.000146416747388599	0.000206501368780442	7.39828676816415e-05	8.02112627316414e-05
Monoglobus pectinilyticus	3.36305158863089e-05	0	0	3.52546052315883e-05	0	0	7.00509897470981e-05	0	4.75466632211683e-05
Negativibacillus massiliensis	0	0	0	0	0	0	4.92389875056487e-05	0	0
Oscillibacter valericigenes	5.93238004702613e-05	0	0	0	0	0	0	0	0
Peptacetobacter hiranonis	0.000819175167007287	0.000389122643336898	0.000310703743980115	0.000339135885488197	0.000335225370239315	0.000852247532886495	0.00148907764771663	0.000348800318581985	0.00106197296231805
Peptococcus niger	0	0	0	0	0	0	4.42427303663661e-05	0	0
Phascolarctobacterium succinatutens	0.000158340001051325	8.95652112507328e-05	0	8.72681034760641e-05	7.23415362917761e-05	0.000142941875872242	0.000287246534709158	0	0.000163334477975298
Phocaeicola dorei	8.72498700378641e-05	7.28949900882948e-05	0	0.000105560504882569	4.2947865134898e-05	6.79791879101625e-05	0.000154854481083156	0	8.34207786585753e-05
Phocaeicola massiliensis	5.78579342819973e-05	0	0	7.60549482537499e-05	0	0	9.95461873038213e-05	0	3.47522012043466e-05
Phocaeicola vulgatus	5.09614870054269e-05	0	0	0	0	0	4.19456975907762e-05	0	4.86562210391842e-05
Prevotella corporis	0.0439919729708855	0.0440807132872745	0.0489893918421497	0.0239815503232049	0.024453275831844	0.0246646049267701	0.0466337510578009	0.0468044016297749	0.0491268548489505
Romboutsia timonensis	3.07883127564769e-05	0	0	0	0	0	5.89903071551548e-05	0	4.86736986872087e-05
Roseburia hominis	0.0732686485470519	0.0809468906054182	0.0692524120006279	0.0699906869367472	0.077260245674167	0.0654798989295155	0.0676521246559785	0.0738693767540657	0.0624514567206328
Ruminococcus bicirculans	3.2453686467949e-05	0	0	0	0	0	6.26772013544015e-05	0	6.6492377020872e-05
Ruminococcus bromii	0.000200133422761551	0.000105690268403677	0	0.000113214628419842	8.35605580345873e-05	0.000198711783170305	0.000401272594917653	5.81305407959316e-05	0.000257237158383165
Ruminococcus champanellensis	0	0	0	0	0	0	6.94077676909205e-05	0	0
Salmonella enterica	0.000252385480722161	0.000193078455991555	0	0.000230686454635457	0.000270507138737311	0.000400362150095793	0.000385740435432643	0.000156044007145552	0.000232912938460009
Segniliparus rotundus	0	2.45119989225429e-05	0	0	0	0	0	0	0
Shigella boydii	4.85933732384804e-05	3.88518537312455e-05	0	0.000133582435444708	8.29725636723813e-05	0.000148615612185232	4.58373424282812e-05	0	5.00246352011172e-05
Shigella dysenteriae	0	2.75277967659599e-05	0	0.000180689075946968	0.000160801171384008	0.000179616283120267	0	0	5.41998310925038e-05
Shigella flexneri	2.76144278178121e-05	3.03392042936568e-05	0	0.000138013969677202	0.000124644972080486	0.000210022596780343	0	0	4.82600867300768e-05
Shigella sonnei	9.7718016476779e-05	3.661184472304e-05	0	0.000177865691606664	0.000214522645694241	0.000181692018798199	7.33521775944334e-05	6.13805815715918e-05	8.23343770801899e-05
Staphylococcus aureus	0.000319679194681285	0.000170098673376616	0	0.000139778148456347	0.000142421808682962	0.000280402376595633	0.000579393382313699	0.000110974336705423	0.000347586021070756
Streptococcus alactolyticus	0.000732338220915836	0.000406203907692842	0.000362487701310134	0.00029483009539632	0.000313832721266161	0.000863196917313001	0.00141623608108017	0.000299581506437213	0.00092780702952294
Streptococcus lutetiensis	2.68749985397184e-05	0	0	0	0	0	0.000106935382579188	0	0
Subdoligranulum variabile	3.41852331496381e-05	0	0	0	0	0	5.31541751045976e-05	0	5.44588164123528e-05
Tyzzerella nexilis	0	0	0	0	0	0	7.88432694718861e-05	0	0
Veillonella rogosae	0.32645759614248	0.323041962146959	0.330089688285993	0.350259812587382	0.348267701971583	0.353973728517006	0.301277638315672	0.295561832958081	0.308841119838432
[Eubacterium] brachy	6.15713450651612e-05	3.93145666850229e-05	0	0	2.71279627922615e-05	6.27500075803188e-05	0.000110641505192193	0	0.000109762697717943
[Eubacterium] rectale	9.82902498627587e-05	4.00762793947274e-05	0	5.89601806609439e-05	4.07951500231024e-05	0.00010908269960163	0.00014774241610398	0	0.000122924539896867
[Eubacterium] siraeum	7.42868168906959e-05	6.1182189100101e-05	0	3.30299922163888e-05	5.21855959742299e-05	7.45788839194074e-05	0.0001769774934812	0	0.000104895933436751
[Ruminococcus] faecis	6.49248030653742e-05	5.14591873045198e-05	0	6.83359624874339e-05	4.31425295123491e-05	0	0.000135411792860075	0	0.000103613285143085
[Ruminococcus] gnavus	8.61225695482081e-05	6.41444718092972e-05	0	7.60785173246985e-05	7.82772096817697e-05	0.000180974955321129	0.00025263153075787	0	0.000184239062354647
[Ruminococcus] torques	5.8941480408943e-05	0	0	0	0	9.41249996182718e-05	0.00013299090834674	0	5.90680702008664e-05
