genus	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Prevotella	44.82	20018.4589333535	20189.9364612644	2844.03015400416	10174.7962449282	10823.7045748967	4724.70197399359	12664.373590156	8868.21719439993	14155.4149261482
Romboutsia	0	14.0101598750907	0	0	0	0	0	16.0200556692289	0	14.0248424823083
Roseburia	89.01	33340.7513459823	37075.4567288755	4020.37952628446	29695.3686907758	34197.548022263	12543.1973732286	18372.3539577414	13996.3262910998	17994.7665149956
Ruminococcus	0	105.838296855192	48.4084681147898	0	48.0342496874574	36.9862426817309	38.0648284044284	144.844437643253	11.0142260867683	93.2794479024386
Salmonella	0	114.847506033771	88.4341805701657	0	97.8747262269147	119.734033805011	76.6925659862018	104.755909021632	29.5662822098961	67.1115481686548
Segniliparus	0	0	11.2270347705011	0	0	0	0	0	0	0
Shigella	0	79.1445939021643	61.0683936527575	0	267.358018938092	258.026165120915	137.911501572511	32.3684150504667	11.6300243126957	67.660740716149
Staphylococcus	0	145.469375397418	77.9089345773057	0	59.3045137144658	63.0398803337179	53.7133137200982	157.346430060709	21.0267514729232	100.153457124694
Streptococcus	0	345.478450475239	186.050326209294	21.0438610118585	125.089333554371	138.911149748589	165.352260507827	413.649170827745	56.7629063506842	267.338373577458
Subdoligranulum	0	15.555921676576	0	0	0	0	0	14.4351315545436	0	15.6917666533715
Tyzzerella	0	0	0	0	0	0	0	21.4115441501521	0	0
Veillonella	142.83	148553.873366503	147960.325586477	19163.0267637551	148606.832245326	154153.036388268	67806.4935088817	81818.2642279922	56001.2827378992	88989.4989412837
