species	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Akkermansia muciniphila	0	3309.80185825201	3298.27665788922	433.914298612987	899.236430696004	978.619173178598	436.736374811766	1642.05570609597	1055.34233458223	1773.38167501259
Bacillus subtilis	0	343.491378115303	170.367743357249	20.0327884031578	132.016539036205	136.144447988452	133.348322433921	362.819892727612	72.0917885989721	259.398793575232
Bacteroides fragilis	89.46	35056.7896359854	35705.7855128069	4801.84960020668	16507.7359918541	16883.6253103152	8013.30006689261	23126.9980086644	16465.1007717307	26875.0761431171
Bifidobacterium adolescentis	79.02	32480.1111489765	35361.0469901976	4142.19553787242	34.989052560211	38.0240534601716	30.0506894927121	23800.9055930094	19486.1110224206	23785.2491346409
Blautia sp. SC05B48	0	232.15142762868	108.010992585079	28.087611123811	147.070410035867	105.390044227017	101.530513094905	250.582635011527	62.2124926860899	190.385408413276
Blautia wexlerae	0	187.884396823236	96.5857988050534	15.005616552011	112.272635863074	86.6506512071568	78.1885939655384	197.952628690505	40.0474311785128	149.46098804832
Clostridioides difficile	23.58	27878.257018632	26639.9414642214	3475.95729092388	24133.7612503164	23277.9118738035	10927.037152838	14791.9168416783	9653.82803601484	15234.9039404519
Enterococcus faecalis	0	163.663933167469	76.2079247737134	14.0292406747011	68.4126318631452	66.047527972788	70.3926072015854	181.31094825503	36.0473305212714	113.159467244109
Escherichia coli	109.08	18741.091371247	19311.8845154724	2678.48649130461	60867.5399439577	66254.1023185426	28741.1062886854	14473.5754197102	10164.2071602331	17479.5339801152
Faecalibacterium prausnitzii	158.67	102088.598399436	100090.956199036	12613.5635205805	97624.1374129547	98672.1255528279	41791.1203355379	55387.1273033929	37507.6697448985	56592.3986358299
Fusobacterium nucleatum	67.41	6005.76905076716	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6345.9074576909	4470.07891711195	7099.28705523668
Laceyella sacchari	0	413.561847452702	403.086326854937	45.1738062867868	334.506655617884	373.100271734263	187.109728260228	230.885262249334	164.899585980712	229.188478659502
Limosilactobacillus fermentum	86.67	22960.9389217665	23874.8839117617	2832.9045589403	22115.9025103596	24566.2257871941	9582.63194469705	14412.8637593433	11065.3188647412	14841.325641473
Listeria monocytogenes	0	151.775149585612	68.1228254129906	0	54.0401511563775	72.277876808141	50.0845897227799	159.20761976869	34.0442020391806	126.364503609422
Peptacetobacter hiranonis	0	372.764014262584	178.226731346456	18.0375951530216	143.887216951392	148.380135178278	163.254818510782	404.390279736665	66.0885915630027	305.996953564064
Prevotella corporis	44.82	20018.4589333535	20189.9364612644	2844.03015400416	10174.7962449282	10823.7045748967	4724.70197399359	12664.373590156	8868.21719439993	14155.4149261482
Roseburia hominis	89.01	33340.7513459823	37075.4567288755	4020.37952628446	29695.3686907758	34197.548022263	12543.1973732286	18372.3539577414	13996.3262910998	17994.7665149956
Salmonella enterica	0	114.847506033771	88.4341805701657	0	97.8747262269147	119.734033805011	76.6925659862018	104.755909021632	29.5662822098961	67.1115481686548
Streptococcus alactolyticus	0	333.249036373777	186.050326209294	21.0438610118585	125.089333554371	138.911149748589	165.352260507827	384.60862392191	56.7629063506842	267.338373577458
Veillonella rogosae	142.83	148553.873366503	147960.325586477	19163.0267637551	148606.832245326	154153.036388268	67806.4935088817	81818.2642279922	56001.2827378992	88989.4989412837
