sample,dna.isolation.methods,n_reads,total_bases,mean_len,median_len,n50_len,mean_Q,median_Q
SRTP_A_M1_210412_ZMB,ZMB,51410,79419220,1544.82046294495,1577,1579,19.1297574499125,19.19345
SRTP_A_M1_210415_ZHMW,ZHMW,77937,121460359,1558.442832031,1583,1584,18.9404337503368,18.9994
SRTP_A_M1_210415_ZMB,ZMB,62302,96701544,1552.14188950596,1578,1580,19.8027447545825,19.97545
SRTP_A_M1_210705_ZHMW,ZHMW,92530,143810863,1554.20796498433,1578,1579,19.5382082859613,19.7172
SRTP_A_M1_210705_ZMB,ZMB,136628,205909351,1507.080181222,1573,1576,19.9336595097637,20.16115
SRTP_A_M1_210903_ZHMW,ZHMW,116742,181230584,1552.40259718011,1580,1581,19.5428599878364,19.73765
SRTP_A_M1_210903_ZMB,ZMB,62622,96662501,1543.58693430424,1577,1578,19.9011329644534,20.07515
SRTP_A_M2_210317_ZHMW,ZHMW,33960,52315518,1540.50406360424,1569,1570,19.178508147821,19.318
SRTP_A_M2_210317_ZMB,ZMB,52511,78980935,1504.08362057474,1567,1569,18.1340435108834,18.0831
SRTP_A_M2_210704_ZHMW,ZHMW,40675,63214642,1554.13993853719,1579,1580,18.6588566564229,18.6139
SRTP_A_M2_210704_ZMB,ZMB,100863,156135547,1547.99626225672,1577,1578,19.9884880937509,20.221
SRTP_A_M2_210803_ZHMW,ZHMW,55023,84012817,1526.86725551133,1578,1579,18.5636053486724,18.578
SRTP_A_M2_210803_ZMB,ZMB,57102,87761205,1536.91998528948,1571,1572,19.234187942629,19.2772
SRTP_A_M3_211203_ZHMW,ZHMW,112462,174426622,1550.9827497288,1573,1574,18.8938502578649,18.9749
SRTP_A_M3_211203_ZMB,ZMB,47206,72467167,1535.12619158582,1573,1574,19.8849832203533,20.0915
