id;alias;instrumentModel;firstCreated;firstPublic;releaseStatus;submissionAccountId;studyId;experimentId;sampleId
ERR12020644;"ena-RUN-TAB-04-09-2023-23:03:38:335-2755";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404572;ERS15987785
ERR12020643;"ena-RUN-TAB-04-09-2023-23:03:38:334-2753";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404571;ERS15987783
ERR12020642;"ena-RUN-TAB-04-09-2023-23:03:38:334-2751";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404570;ERS15987781
ERR12020641;"ena-RUN-TAB-04-09-2023-23:03:38:333-2749";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404569;ERS15987779
ERR12020640;"ena-RUN-TAB-04-09-2023-23:03:38:333-2747";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404568;ERS15987777
ERR12020639;"ena-RUN-TAB-04-09-2023-23:03:38:333-2745";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:38;PUBLIC;Webin-42996;ERP144665;ERX11404567;ERS15987775
ERR12020638;"ena-RUN-TAB-04-09-2023-23:03:38:332-2743";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404566;ERS15987773
ERR12020637;"ena-RUN-TAB-04-09-2023-23:03:38:332-2741";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404565;ERS15987771
ERR12020636;"ena-RUN-TAB-04-09-2023-23:03:38:331-2739";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404564;ERS15987769
ERR12020635;"ena-RUN-TAB-04-09-2023-23:03:38:331-2737";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404563;ERS15987767
ERR12020634;"ena-RUN-TAB-04-09-2023-23:03:38:331-2735";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:37;PUBLIC;Webin-42996;ERP144665;ERX11404562;ERS15987765
ERR12020633;"ena-RUN-TAB-04-09-2023-23:03:38:330-2733";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:35;PUBLIC;Webin-42996;ERP144665;ERX11404561;ERS15987763
ERR12020632;"ena-RUN-TAB-04-09-2023-23:03:38:330-2731";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:35;PUBLIC;Webin-42996;ERP144665;ERX11404560;ERS15987761
ERR12020631;"ena-RUN-TAB-04-09-2023-23:03:38:329-2729";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404559;ERS15987759
ERR12020630;"ena-RUN-TAB-04-09-2023-23:03:38:329-2727";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404558;ERS15987757
