id;alias;instrumentModel;firstCreated;firstPublic;releaseStatus;submissionAccountId;studyId;experimentId;sampleId
ERR12020576;"ena-RUN-TAB-04-09-2023-23:03:38:309-2619";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404504;ERS15987649
ERR12020575;"ena-RUN-TAB-04-09-2023-23:03:38:308-2617";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404503;ERS15987647
ERR12020574;"ena-RUN-TAB-04-09-2023-23:03:38:308-2615";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404502;ERS15987645
ERR12020573;"ena-RUN-TAB-04-09-2023-23:03:38:308-2613";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404501;ERS15987643
ERR12020572;"ena-RUN-TAB-04-09-2023-23:03:38:307-2611";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404500;ERS15987641
ERR12020571;"ena-RUN-TAB-04-09-2023-23:03:38:307-2609";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404499;ERS15987639
ERR12020570;"ena-RUN-TAB-04-09-2023-23:03:38:307-2607";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404498;ERS15987637
ERR12020569;"ena-RUN-TAB-04-09-2023-23:03:38:307-2605";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404497;ERS15987635
ERR12020568;"ena-RUN-TAB-04-09-2023-23:03:38:306-2603";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:38;PUBLIC;Webin-42996;ERP144665;ERX11404496;ERS15987845
ERR12020567;"ena-RUN-TAB-04-09-2023-23:03:38:306-2601";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:37;PUBLIC;Webin-42996;ERP144665;ERX11404495;ERS15987843
ERR12020566;"ena-RUN-TAB-04-09-2023-23:03:38:305-2599";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:35;PUBLIC;Webin-42996;ERP144665;ERX11404494;ERS15987841
ERR12020565;"ena-RUN-TAB-04-09-2023-23:03:38:305-2597";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404493;ERS15987839
ERR12020564;"ena-RUN-TAB-04-09-2023-23:03:38:305-2595";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404492;ERS15987837
ERR12020563;"ena-RUN-TAB-04-09-2023-23:03:38:304-2593";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:39;PUBLIC;Webin-42996;ERP144665;ERX11404491;ERS15987835
ERR12020562;"ena-RUN-TAB-04-09-2023-23:03:38:304-2591";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:37;PUBLIC;Webin-42996;ERP144665;ERX11404490;ERS15987833
ERR12020561;"ena-RUN-TAB-04-09-2023-23:03:38:304-2589";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404489;ERS15987831
ERR12020560;"ena-RUN-TAB-04-09-2023-23:03:38:303-2587";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404488;ERS15987829
ERR12020559;"ena-RUN-TAB-04-09-2023-23:03:38:303-2585";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:38;PUBLIC;Webin-42996;ERP144665;ERX11404487;ERS15987827
ERR12020558;"ena-RUN-TAB-04-09-2023-23:03:38:302-2583";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404486;ERS15987825
ERR12020545;"ena-RUN-TAB-04-09-2023-23:03:38:293-2557";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404473;ERS15987799
ERR12020556;"ena-RUN-TAB-04-09-2023-23:03:38:301-2579";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404484;ERS15987821
ERR12020555;"ena-RUN-TAB-04-09-2023-23:03:38:301-2577";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404483;ERS15987819
ERR12020554;"ena-RUN-TAB-04-09-2023-23:03:38:301-2575";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404482;ERS15987817
ERR12020553;"ena-RUN-TAB-04-09-2023-23:03:38:300-2573";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404481;ERS15987815
ERR12020552;"ena-RUN-TAB-04-09-2023-23:03:38:300-2571";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:38;PUBLIC;Webin-42996;ERP144665;ERX11404480;ERS15987813
ERR12020551;"ena-RUN-TAB-04-09-2023-23:03:38:299-2569";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404479;ERS15987811
ERR12020550;"ena-RUN-TAB-04-09-2023-23:03:38:299-2567";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:38;PUBLIC;Webin-42996;ERP144665;ERX11404478;ERS15987809
ERR12020549;"ena-RUN-TAB-04-09-2023-23:03:38:299-2565";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404477;ERS15987807
ERR12020548;"ena-RUN-TAB-04-09-2023-23:03:38:298-2563";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404476;ERS15987805
ERR12020547;"ena-RUN-TAB-04-09-2023-23:03:38:298-2561";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404475;ERS15987803
ERR12020546;"ena-RUN-TAB-04-09-2023-23:03:38:297-2559";"Illumina MiSeq";2023-09-05T00:03:49;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404474;ERS15987801
ERR11881281;"ena-RUN-TAB-23-08-2023-16:14:58:019-61";MinION;2023-08-23T17:14:58;;CANCELLED;Webin-42996;ERP144665;ERX11273255;ERS15990629
ERR11881286;"ena-RUN-TAB-23-08-2023-16:14:58:021-71";MinION;2023-08-23T17:14:58;;CANCELLED;Webin-42996;ERP144665;ERX11273260;ERS15990634
ERR11881285;"ena-RUN-TAB-23-08-2023-16:14:58:021-69";MinION;2023-08-23T17:14:58;;CANCELLED;Webin-42996;ERP144665;ERX11273259;ERS15990633
ERR11881284;"ena-RUN-TAB-23-08-2023-16:14:58:021-67";MinION;2023-08-23T17:14:58;;CANCELLED;Webin-42996;ERP144665;ERX11273258;ERS15990632
ERR11881283;"ena-RUN-TAB-23-08-2023-16:14:58:020-65";MinION;2023-08-23T17:14:58;;CANCELLED;Webin-42996;ERP144665;ERX11273257;ERS15990631
ERR11881282;"ena-RUN-TAB-23-08-2023-16:14:58:020-63";MinION;2023-08-23T17:14:58;;CANCELLED;Webin-42996;ERP144665;ERX11273256;ERS15990630
ERR11654290;"ena-RUN-TAB-05-07-2023-17:48:36:912-57465";MinION;2023-07-05T18:48:38;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11056106;ERS15972894
ERR11654308;"ena-RUN-TAB-05-07-2023-17:48:36:917-57501";MinION;2023-07-05T18:48:38;2023-12-15T20:18:33;PUBLIC;Webin-42996;ERP144665;ERX11056124;ERS15972912
