read_id	length	mean_Q
ERR13926705.190	1576	15.0755
ERR13926705.191	1556	14.6928
ERR13926705.192	1527	14.5102
ERR13926705.193	1585	15.9596
ERR13926705.194	1566	15.0728
ERR13926705.195	1533	15.9680
ERR13926705.196	1531	16.3579
ERR13926705.197	1580	16.1905
ERR13926705.198	1620	14.8105
ERR13926705.199	180	15.6111
ERR13926705.200	1522	14.4895
ERR13926705.201	1518	15.6726
ERR13926705.202	1537	15.0234
ERR13926705.203	1536	16.5273
ERR13926705.204	1504	14.5180
ERR13926705.205	1537	15.3448
ERR13926705.206	1583	14.7770
ERR13926705.207	1574	16.3437
ERR13926705.208	1542	14.2445
ERR13926705.209	1597	15.6512
ERR13926705.210	1561	13.9731
ERR13926705.211	1582	16.5348
ERR13926705.212	1579	14.7536
ERR13926705.213	729	15.6941
ERR13926705.214	1547	14.8843
ERR13926705.215	1578	15.1312
ERR13926705.216	731	14.0834
ERR13926705.217	1577	14.4813
ERR13926705.218	1424	17.0688
ERR13926705.219	1457	15.5367
ERR13926705.220	1569	16.3340
ERR13926705.221	1622	16.1332
ERR13926705.222	1544	15.8251
ERR13926705.223	1561	14.5772
ERR13926705.224	1579	14.9696
ERR13926705.225	1567	16.6981
ERR13926705.226	1553	17.6806
ERR13926705.227	1568	15.2347
ERR13926705.228	1568	15.3584
ERR13926705.229	780	15.1321
ERR13926705.230	1561	17.1986
ERR13926705.231	1574	14.0909
ERR13926705.232	1630	16.2411
ERR13926705.233	811	14.8730
ERR13926705.234	1559	15.1443
ERR13926705.235	1535	15.6287
ERR13926705.236	1567	16.2865
ERR13926705.237	1563	15.5541
ERR13926705.238	171	12.8772
ERR13926705.239	1538	15.2451
ERR13926705.240	1628	15.6370
ERR13926705.241	1600	16.0263
ERR13926705.242	1518	15.5211
ERR13926705.243	1550	14.9374
ERR13926705.244	1553	15.3187
ERR13926705.245	1587	16.5419
ERR13926705.246	1577	13.9480
ERR13926705.247	1514	15.3276
ERR13926705.248	1547	15.0873
ERR13926705.249	1533	14.2120
ERR13926705.250	1530	14.3987
ERR13926705.251	1516	16.2586
ERR13926705.252	1533	14.0535
ERR13926705.253	1575	16.4965
ERR13926705.254	1586	16.0359
ERR13926705.255	1501	14.4544
ERR13926705.256	1531	15.6434
ERR13926705.257	1545	14.8939
ERR13926705.258	3265	16.5084
ERR13926705.259	1588	15.4811
ERR13926705.260	3082	15.1317
ERR13926705.261	1562	15.4545
ERR13926705.262	1540	16.2377
ERR13926705.263	1573	17.5957
ERR13926705.264	1547	15.1713
ERR13926705.265	1578	14.6432
ERR13926705.266	1539	15.4165
ERR13926705.267	1590	15.0604
ERR13926705.268	1496	13.7694
ERR13926705.269	1567	15.2380
ERR13926705.270	1583	14.1693
ERR13926705.271	1615	15.6272
ERR13926705.272	1543	15.5956
ERR13926705.273	190	12.0105
ERR13926705.274	1559	16.7787
ERR13926705.275	1565	14.6166
ERR13926705.276	1532	15.9791
ERR13926705.277	1583	16.0373
ERR13926705.278	1569	15.0758
ERR13926705.279	1589	15.1164
ERR13926705.280	1566	17.0326
ERR13926705.281	1587	14.7687
ERR13926705.282	1584	15.3952
ERR13926705.283	1494	14.1145
ERR13926705.284	1670	15.9509
ERR13926705.285	1548	16.9884
ERR13926705.286	1580	16.3937
ERR13926705.287	1557	15.5453
ERR13926705.288	1583	17.1769
ERR13926705.289	1498	14.8471
ERR13926705.290	1530	15.9320
ERR13926705.291	190	14.8842
ERR13926705.292	1553	14.5216
ERR13926705.293	1571	15.0617
ERR13926705.294	1578	15.8752
ERR13926705.295	1535	14.9870
ERR13926705.296	1586	15.7188
ERR13926705.297	1603	15.0667
ERR13926705.298	1500	14.9560
ERR13926705.299	1563	15.1593
ERR13926705.300	395	13.9570
ERR13926705.301	1563	17.8631
ERR13926705.302	1544	15.1768
ERR13926705.303	1597	15.9173
ERR13926705.304	1533	15.9954
ERR13926705.305	1553	14.8931
ERR13926705.306	1476	15.8367
ERR13926705.307	1572	15.3779
ERR13926705.308	270	13.0333
ERR13926705.309	1595	15.0997
ERR13926705.310	225	12.0489
ERR13926705.311	1551	14.1302
ERR13926705.312	1586	13.4634
ERR13926705.313	1601	16.8282
ERR13926705.314	1540	14.9643
ERR13926705.315	1550	14.9561
ERR13926705.316	1598	14.4725
ERR13926705.317	1582	16.4241
ERR13926705.318	1522	15.0657
ERR13926705.319	1563	15.1094
ERR13926705.320	1563	16.3282
ERR13926705.321	1546	14.2154
ERR13926705.322	1582	16.2118
ERR13926705.323	1552	15.0799
ERR13926705.324	1553	14.5750
ERR13926705.325	1543	16.0052
ERR13926705.326	1491	14.8531
ERR13926705.327	1553	14.8835
ERR13926705.328	1090	14.4009
ERR13926705.329	1548	16.4619
ERR13926705.330	1555	16.3370
ERR13926705.331	1511	14.4130
ERR13926705.332	191	14.5812
ERR13926705.333	1557	14.8510
ERR13926705.334	1559	14.7248
ERR13926705.335	1531	15.6571
ERR13926705.336	1537	16.1535
ERR13926705.337	1547	15.1726
ERR13926705.338	1561	15.7188
ERR13926705.339	1597	16.5880
ERR13926705.340	1565	15.4601
ERR13926705.341	1601	15.5053
ERR13926705.342	701	16.0456
ERR13926705.343	1589	15.2259
ERR13926705.344	1475	14.9702
ERR13926705.345	1571	15.1763
ERR13926705.346	1540	15.3039
ERR13926705.347	1514	15.3785
ERR13926705.348	1598	17.7459
ERR13926705.349	2975	15.6474
ERR13926705.350	1604	14.8379
ERR13926705.351	1617	15.4731
ERR13926705.352	1262	15.7758
ERR13926705.353	1560	16.5109
ERR13926705.354	1540	15.6545
ERR13926705.355	1512	17.5344
ERR13926705.356	1595	15.4972
ERR13926705.357	1604	15.0729
ERR13926705.358	1534	16.3768
ERR13926705.359	1552	16.3557
ERR13926705.360	1572	14.5884
ERR13926705.361	1563	14.2623
ERR13926705.362	1546	15.5886
ERR13926705.363	1550	15.6542
ERR13926705.364	1599	17.2276
ERR13926705.365	858	16.0734
ERR13926705.366	1520	15.8796
ERR13926705.367	1563	15.7089
ERR13926705.368	1544	14.8659
ERR13926705.369	1444	14.8608
ERR13926705.370	1509	14.3287
ERR13926705.371	1622	15.9371
ERR13926705.372	1501	15.1532
ERR13926705.373	1538	16.1944
ERR13926705.374	1537	14.7905
ERR13926705.375	1526	16.5033
ERR13926705.376	1563	14.4888
ERR13926705.377	217	11.8065
ERR13926705.378	1550	15.6458
ERR13926705.379	1560	15.3788
ERR13926705.380	1541	15.0162
ERR13926705.381	1581	16.1866
ERR13926705.382	1514	13.8184
ERR13926705.383	1547	14.7796
ERR13926705.384	1487	14.0847
ERR13926705.385	1605	16.5620
ERR13926705.386	1428	15.8754
ERR13926705.387	1500	15.2613
ERR13926705.388	2928	15.0973
ERR13926705.389	1515	15.9221
ERR13926705.390	1566	16.4847
ERR13926705.391	1559	15.7300
ERR13926705.392	1592	15.6394
ERR13926705.393	1555	14.9904
ERR13926705.394	1515	16.8964
ERR13926705.395	1550	14.0755
ERR13926705.396	1581	14.6199
ERR13926705.397	323	13.6533
ERR13926705.398	1517	15.0442
ERR13926705.399	178	15.7079
ERR13926705.400	1572	16.5827
ERR13926705.401	1569	15.5819
ERR13926705.402	1576	15.4429
ERR13926705.403	1567	14.9802
ERR13926705.404	1585	16.1539
ERR13926705.405	1574	15.6550
ERR13926705.406	165	12.1455
ERR13926705.407	1615	16.1232
ERR13926705.408	1093	14.4026
ERR13926705.409	1588	15.7594
ERR13926705.410	1530	14.6967
ERR13926705.411	1589	14.6564
ERR13926705.412	1937	19.5756
ERR13926705.413	1539	14.4146
ERR13926705.414	1552	15.3518
ERR13926705.415	1566	15.6047
ERR13926705.416	1585	15.0864
ERR13926705.417	429	14.6946
ERR13926705.418	1561	15.3376
ERR13926705.419	1573	14.9504
ERR13926705.420	190	14.5474
ERR13926705.421	1519	15.4417
ERR13926705.422	1558	14.7092
ERR13926705.423	2717	15.8325
ERR13926705.424	1523	15.2974
ERR13926705.425	1530	15.5595
ERR13926705.426	1536	16.1654
ERR13926705.427	1542	16.9734
ERR13926705.428	1548	14.7946
ERR13926705.429	1562	14.2612
ERR13926705.430	1573	15.8690
ERR13926705.431	1492	14.7339
ERR13926705.432	1562	15.6677
ERR13926705.433	1543	14.6909
ERR13926705.434	2241	20.9460
ERR13926705.435	192	14.0573
ERR13926705.436	1550	14.7032
ERR13926705.437	1050	14.2419
ERR13926705.438	237	13.0549
ERR13926705.439	216	12.6065
ERR13926705.440	217	12.7235
ERR13926705.441	1548	15.1066
ERR13926705.442	1119	14.1618
ERR13926705.443	1585	16.2498
ERR13926705.444	1441	15.1076
ERR13926705.445	1174	15.2487
ERR13926705.446	1069	14.3592
ERR13926705.447	1506	14.8579
ERR13926705.448	1581	15.8937
ERR13926705.449	1529	14.5337
ERR13926705.450	1548	14.0149
ERR13926705.451	1578	14.5165
ERR13926705.452	1528	14.9673
ERR13926705.453	1535	14.2156
ERR13926705.454	270	12.8185
ERR13926705.455	1574	15.8634
ERR13926705.456	1416	16.6886
ERR13926705.457	1562	14.7164
ERR13926705.458	1556	15.2076
ERR13926705.459	1597	16.3375
ERR13926705.460	1592	15.4227
ERR13926705.461	1575	17.0216
ERR13926705.462	1519	14.9256
ERR13926705.463	1535	15.9818
ERR13926705.464	1605	14.3240
ERR13926705.465	212	13.4906
ERR13926705.466	1528	15.0890
ERR13926705.467	1523	14.5870
ERR13926705.468	1535	14.8150
ERR13926705.469	1564	14.7960
ERR13926705.470	2579	15.8666
ERR13926705.471	361	13.7424
ERR13926705.472	1554	16.6757
ERR13926705.473	1540	14.7331
ERR13926705.474	1461	15.4182
ERR13926705.475	1565	16.1099
ERR13926705.476	1587	15.0126
ERR13926705.477	1542	16.9955
ERR13926705.478	1522	14.2175
ERR13926705.479	1393	15.9404
ERR13926705.480	1591	15.8630
ERR13926705.481	1513	14.4005
ERR13926705.482	1560	16.5968
ERR13926705.483	1545	16.1573
ERR13926705.484	1588	15.5630
ERR13926705.485	1548	16.1428
ERR13926705.486	1467	14.4281
ERR13926705.487	193	12.2073
ERR13926705.488	1560	15.4506
ERR13926705.489	178	12.7416
ERR13926705.490	1546	14.9398
ERR13926705.491	1636	15.9713
ERR13926705.492	1541	15.1194
ERR13926705.493	1570	14.6389
ERR13926705.494	1576	15.5857
ERR13926705.495	1575	17.1175
ERR13926705.496	1579	16.6751
ERR13926705.497	1536	13.4447
ERR13926705.498	1540	14.2760
ERR13926705.499	1584	17.5505
ERR13926705.500	1534	15.1447
ERR13926705.501	1511	14.4884
ERR13926705.502	1525	15.4872
ERR13926705.503	183	13.3934
ERR13926705.504	1598	14.8423
ERR13926705.505	1400	14.6629
ERR13926705.506	1630	16.6018
ERR13926705.507	1562	14.3060
ERR13926705.508	1573	17.3700
ERR13926705.509	1573	14.9720
ERR13926705.510	1517	14.9644
ERR13926705.511	1595	17.1461
ERR13926705.512	1546	14.5252
