read_id	length	mean_Q
ERR13927361.1	1590	16.0591
ERR13927361.2	1573	14.9332
ERR13927361.3	1493	14.9397
ERR13927361.4	1575	16.6235
ERR13927361.5	1603	14.5671
ERR13927361.6	1436	13.8064
ERR13927361.7	187	14.3904
ERR13927361.8	190	14.4158
ERR13927361.9	1573	15.3980
ERR13927361.10	1537	15.6220
ERR13927361.11	1487	15.4889
ERR13927361.12	1531	15.4487
ERR13927361.13	222	14.7072
ERR13927361.14	202	12.7426
ERR13927361.15	1539	14.4490
ERR13927361.16	1557	14.1901
ERR13927361.17	246	14.8699
ERR13927361.18	204	13.9020
ERR13927361.19	1557	16.2659
ERR13927361.20	1161	15.8966
ERR13927361.21	1649	17.5543
ERR13927361.22	206	17.9078
ERR13927361.23	1549	16.0794
ERR13927361.24	1641	15.5509
ERR13927361.25	1374	15.3959
ERR13927361.26	1575	16.4025
ERR13927361.27	1481	15.9494
ERR13927361.28	226	13.7611
ERR13927361.29	1581	14.9260
ERR13927361.30	181	18.3039
ERR13927361.31	1610	16.3497
ERR13927361.32	1503	15.7618
ERR13927361.33	1486	15.4139
ERR13927361.34	1516	15.2421
ERR13927361.35	1263	15.0016
ERR13927361.36	1531	14.9184
ERR13927361.37	1579	14.5839
ERR13927361.38	770	14.9766
ERR13927361.39	185	15.6919
ERR13927361.40	1272	14.6950
ERR13927361.41	1620	18.1210
ERR13927361.42	965	14.6808
ERR13927361.43	1508	15.0517
ERR13927361.44	230	13.8000
ERR13927361.45	1569	16.4493
ERR13927361.46	1555	14.7666
ERR13927361.47	1559	15.4086
ERR13927361.48	1539	16.4055
ERR13927361.49	574	12.5244
ERR13927361.50	1575	15.3956
ERR13927361.51	1575	15.3568
ERR13927361.52	1639	16.6571
ERR13927361.53	143	12.3077
ERR13927361.54	1622	16.8434
ERR13927361.55	916	13.6408
ERR13927361.56	1571	13.9764
ERR13927361.57	168	16.3988
ERR13927361.58	1569	16.3276
ERR13927361.59	1211	15.0462
ERR13927361.60	266	14.7895
ERR13927361.61	1545	22.7890
ERR13927361.62	1574	16.0013
ERR13927361.63	1587	20.0473
ERR13927361.64	1568	21.2213
ERR13927361.65	1572	15.3785
ERR13927361.66	1573	16.5105
ERR13927361.67	1570	16.1548
ERR13927361.68	1580	18.4715
ERR13927361.69	1563	17.8586
ERR13927361.70	1615	17.3647
ERR13927361.71	1562	21.0058
ERR13927361.72	1592	18.2368
ERR13927361.73	1529	15.5428
ERR13927361.74	1587	15.7738
ERR13927361.75	1523	16.5634
ERR13927361.76	1606	17.1276
ERR13927361.77	1586	19.5902
ERR13927361.78	1513	18.3106
ERR13927361.79	1561	21.1582
ERR13927361.80	1589	15.9981
ERR13927361.81	1575	17.6476
ERR13927361.82	1514	15.9993
ERR13927361.83	1552	16.6327
ERR13927361.84	1579	19.5795
ERR13927361.85	1590	21.2208
ERR13927361.86	1618	23.4808
ERR13927361.87	1564	20.5230
ERR13927361.88	1592	18.7305
ERR13927361.89	1594	18.6725
ERR13927361.90	682	15.8358
ERR13927361.91	1589	20.6356
ERR13927361.92	1572	23.1616
ERR13927361.93	1605	23.7433
ERR13927361.94	1596	19.8008
ERR13927361.95	1526	17.4554
ERR13927361.96	1571	16.8676
ERR13927361.97	1594	19.4122
ERR13927361.98	1536	18.8353
ERR13927361.99	1586	18.4849
ERR13927361.100	1612	20.0676
ERR13927361.101	1572	17.8098
ERR13927361.102	1575	18.5244
ERR13927361.103	1557	19.1908
ERR13927361.104	1574	16.1722
ERR13927361.105	1556	18.3760
ERR13927361.106	1564	20.1963
ERR13927361.107	1583	17.8983
ERR13927361.108	1580	17.5842
ERR13927361.109	1569	21.1855
ERR13927361.110	1587	18.7719
ERR13927361.111	1530	17.0719
ERR13927361.112	1575	21.7892
ERR13927361.113	1576	17.8991
ERR13927361.114	1540	20.8286
ERR13927361.115	1556	16.9916
ERR13927361.116	1597	20.9518
ERR13927361.117	1560	17.9615
ERR13927361.118	1584	20.6970
ERR13927361.119	1607	20.4331
ERR13927361.120	1561	15.7790
ERR13927361.121	1603	14.7704
ERR13927361.122	1564	19.3082
ERR13927361.123	1543	18.4316
ERR13927361.124	1548	19.0136
ERR13927361.125	1586	21.1652
ERR13927361.126	1541	21.2816
ERR13927361.127	427	14.7096
ERR13927361.128	1561	20.7034
ERR13927361.129	1590	17.3610
ERR13927361.130	1578	22.5608
ERR13927361.131	1613	20.5741
ERR13927361.132	1604	20.6446
ERR13927361.133	1560	18.8122
ERR13927361.134	1584	20.3125
ERR13927361.135	1593	19.7872
ERR13927361.136	1556	16.3078
ERR13927361.137	1577	21.1776
ERR13927361.138	1582	18.5531
ERR13927361.139	1575	18.2959
ERR13927361.140	1597	17.1628
ERR13927361.141	578	17.8512
ERR13927361.142	1583	16.1232
ERR13927361.143	1568	19.1843
ERR13927361.144	1567	18.4684
ERR13927361.145	1114	21.0826
ERR13927361.146	1595	18.8564
ERR13927361.147	1546	19.6798
ERR13927361.148	1551	15.7898
ERR13927361.149	1571	16.0980
ERR13927361.150	1557	15.5716
ERR13927361.151	1624	22.0333
ERR13927361.152	1545	20.2906
ERR13927361.153	1605	20.7190
ERR13927361.154	1557	16.3764
ERR13927361.155	1531	17.3135
ERR13927361.156	1564	18.0422
ERR13927361.157	1567	20.3995
ERR13927361.158	1557	18.9512
ERR13927361.159	1547	17.0310
ERR13927361.160	1606	16.6719
ERR13927361.161	1580	18.1816
ERR13927361.162	1598	21.6164
ERR13927361.163	1567	19.9062
ERR13927361.164	1569	18.9127
ERR13927361.165	1585	21.8435
ERR13927361.166	1565	18.5304
ERR13927361.167	1576	20.8775
ERR13927361.168	1584	16.5271
ERR13927361.169	1573	18.8315
ERR13927361.170	1564	17.2315
ERR13927361.171	614	14.8779
ERR13927361.172	1579	18.2863
ERR13927361.173	1545	17.7728
ERR13927361.174	1582	19.0702
ERR13927361.175	1547	18.9127
ERR13927361.176	1569	18.2836
ERR13927361.177	1519	15.7070
ERR13927361.178	744	19.7231
ERR13927361.179	1570	21.3204
ERR13927361.180	1583	21.5186
ERR13927361.181	1562	16.7548
ERR13927361.182	1610	19.5540
ERR13927361.183	1566	15.7822
ERR13927361.184	1557	20.7559
ERR13927361.185	1579	18.0070
ERR13927361.186	1570	20.7096
ERR13927361.187	1592	21.9070
ERR13927361.188	1587	18.7417
ERR13927361.189	1602	16.1498
ERR13927361.190	1530	16.8366
ERR13927361.191	1572	16.4408
ERR13927361.192	1545	15.7023
ERR13927361.193	1557	19.2877
ERR13927361.194	1600	19.1837
ERR13927361.195	1571	16.2973
ERR13927361.196	1572	20.9218
ERR13927361.197	1566	18.5849
ERR13927361.198	1097	17.6454
ERR13927361.199	1573	19.6936
ERR13927361.200	1558	18.2933
ERR13927361.201	1574	16.4479
ERR13927361.202	1623	17.7788
ERR13927361.203	1575	19.0292
ERR13927361.204	1579	23.4991
ERR13927361.205	1599	18.8349
ERR13927361.206	1546	17.2898
ERR13927361.207	1552	15.7874
ERR13927361.208	1569	21.1052
ERR13927361.209	1570	17.2325
ERR13927361.210	1551	17.3553
ERR13927361.211	1566	20.4508
ERR13927361.212	1629	19.5684
ERR13927361.213	1603	19.8135
ERR13927361.214	1599	20.1332
ERR13927361.215	1561	15.3991
ERR13927361.216	1584	17.8074
ERR13927361.217	1592	21.0038
ERR13927361.218	1566	16.2273
ERR13927361.219	1634	20.4486
ERR13927361.220	1546	13.5679
ERR13927361.221	1566	18.2152
ERR13927361.222	1584	18.5903
ERR13927361.223	1568	17.8648
ERR13927361.224	1665	18.4210
ERR13927361.225	1280	18.9172
ERR13927361.226	1574	19.3227
ERR13927361.227	1600	17.9288
ERR13927361.228	1608	19.6312
ERR13927361.229	1568	17.4471
ERR13927361.230	1580	17.9759
ERR13927361.231	1579	16.5636
ERR13927361.232	1553	20.1062
ERR13927361.233	1550	15.6639
ERR13927361.234	1544	22.9670
ERR13927361.235	1593	19.7834
ERR13927361.236	1581	17.6040
ERR13927361.237	1567	16.0913
ERR13927361.238	1510	16.0278
ERR13927361.239	1563	16.0166
ERR13927361.240	1599	21.2051
ERR13927361.241	1561	18.1941
ERR13927361.242	1569	21.0351
ERR13927361.243	1566	20.1475
ERR13927361.244	510	18.0902
ERR13927361.245	1613	21.3676
ERR13927361.246	1575	18.6787
