read_id	length	mean_Q
ERR13927217.1	2083	23.7729
ERR13927217.2	1519	16.0244
ERR13927217.3	1584	17.7172
ERR13927217.4	1126	19.1679
ERR13927217.5	1565	15.1987
ERR13927217.6	1583	16.5420
ERR13927217.7	1174	17.5426
ERR13927217.8	1578	19.2795
ERR13927217.9	1540	16.6331
ERR13927217.10	839	18.9344
ERR13927217.11	1513	16.6603
ERR13927217.12	798	21.2306
ERR13927217.13	1606	15.3611
ERR13927217.14	341	13.1906
ERR13927217.15	1547	18.5184
ERR13927217.16	1569	19.7202
ERR13927217.17	1468	15.8134
ERR13927217.18	1493	15.7729
ERR13927217.19	1564	18.7596
ERR13927217.20	1578	16.9683
ERR13927217.21	1530	17.0346
ERR13927217.22	1584	20.4312
ERR13927217.23	1552	19.6121
ERR13927217.24	1608	18.3246
ERR13927217.25	1546	17.2490
ERR13927217.26	882	15.2982
ERR13927217.27	1536	15.3965
ERR13927217.28	1548	18.3030
ERR13927217.29	1561	19.9385
ERR13927217.30	281	16.6228
ERR13927217.31	1552	17.5793
ERR13927217.32	1498	19.2450
ERR13927217.33	1622	16.6054
ERR13927217.34	1543	16.6455
ERR13927217.35	572	16.3549
ERR13927217.36	1556	16.9441
ERR13927217.37	1529	16.2263
ERR13927217.38	1574	18.8545
ERR13927217.39	1552	19.0071
ERR13927217.40	1490	18.8705
ERR13927217.41	1583	17.2457
ERR13927217.42	1540	17.8708
ERR13927217.43	1543	18.2489
ERR13927217.44	1534	20.7973
ERR13927217.45	1589	19.9421
ERR13927217.46	1589	16.3059
ERR13927217.47	1566	15.5077
ERR13927217.48	1574	15.5280
ERR13927217.49	545	18.5211
ERR13927217.50	1591	17.7712
ERR13927217.51	1552	21.3106
ERR13927217.52	1534	16.9381
ERR13927217.53	1594	19.1581
ERR13927217.54	1547	17.6639
ERR13927217.55	1574	16.3583
ERR13927217.56	1551	18.9626
ERR13927217.57	1582	15.7724
ERR13927217.58	1548	16.2287
ERR13927217.59	1581	15.4826
ERR13927217.60	1864	17.7677
ERR13927217.61	1577	17.5308
ERR13927217.62	1595	20.2740
ERR13927217.63	1606	21.2173
ERR13927217.64	1607	19.8127
ERR13927217.65	312	17.1923
ERR13927217.66	1563	15.7530
ERR13927217.67	1570	17.5025
ERR13927217.68	1559	21.4933
ERR13927217.69	1605	21.7981
ERR13927217.70	1560	19.1442
ERR13927217.71	1540	18.6838
ERR13927217.72	1669	19.5225
ERR13927217.73	1566	17.8193
ERR13927217.74	1578	16.9157
ERR13927217.75	1561	20.3370
ERR13927217.76	1637	19.0470
ERR13927217.77	1572	18.9510
ERR13927217.78	709	19.2341
