read_id	length	mean_Q
ERR13927468.1	3165	21.3678
ERR13927468.2	3153	16.9115
ERR13927468.3	3174	18.4014
ERR13927468.4	1567	18.6981
ERR13927468.5	1043	18.0767
ERR13927468.6	433	17.5058
ERR13927468.7	1581	16.8843
ERR13927468.8	1582	18.4071
ERR13927468.9	1590	18.0025
ERR13927468.10	1578	19.9899
ERR13927468.11	1582	17.4254
ERR13927468.12	1597	15.4678
ERR13927468.13	1548	17.2817
ERR13927468.14	1606	16.1258
ERR13927468.15	1595	16.7442
ERR13927468.16	1541	19.7748
ERR13927468.17	1554	17.1268
ERR13927468.18	1906	16.9098
ERR13927468.19	565	15.8212
ERR13927468.20	809	21.6440
ERR13927468.21	1593	17.5286
ERR13927468.22	1530	15.7503
ERR13927468.23	1274	19.3752
ERR13927468.24	1506	16.3772
ERR13927468.25	1540	16.7383
ERR13927468.26	1566	18.6277
ERR13927468.27	1520	15.8914
ERR13927468.28	1570	17.9140
ERR13927468.29	1546	16.3318
ERR13927468.30	1575	16.3505
ERR13927468.31	1538	16.2783
ERR13927468.32	1564	17.2583
ERR13927468.33	1544	17.5382
ERR13927468.34	1604	21.9607
ERR13927468.35	524	16.1584
ERR13927468.36	1584	19.7184
ERR13927468.37	1574	18.3793
ERR13927468.38	1594	18.3450
ERR13927468.39	685	17.6336
ERR13927468.40	1554	15.1203
ERR13927468.41	1598	17.2685
ERR13927468.42	1584	18.3699
ERR13927468.43	1583	17.2887
ERR13927468.44	644	15.0481
ERR13927468.45	1578	14.2129
ERR13927468.46	1569	15.1122
ERR13927468.47	1582	17.2535
ERR13927468.48	1567	16.1653
ERR13927468.49	1637	14.5852
ERR13927468.50	1550	18.5561
ERR13927468.51	1539	15.9890
ERR13927468.52	1575	18.4895
ERR13927468.53	1585	19.5104
ERR13927468.54	1555	18.8463
ERR13927468.55	1601	18.9794
ERR13927468.56	1570	15.9834
ERR13927468.57	1569	15.4621
ERR13927468.58	193	16.1658
ERR13927468.59	1477	16.0826
ERR13927468.60	1576	17.8058
ERR13927468.61	1604	17.5680
ERR13927468.62	1543	15.5936
ERR13927468.63	1563	15.3890
ERR13927468.64	1593	18.3716
ERR13927468.65	1593	15.4765
ERR13927468.66	1542	16.2730
ERR13927468.67	1531	17.3011
ERR13927468.68	1586	17.5164
ERR13927468.69	1546	16.5278
ERR13927468.70	1548	16.2778
ERR13927468.71	1581	18.7046
ERR13927468.72	1506	18.2019
ERR13927468.73	509	13.2908
ERR13927468.74	1558	20.1938
ERR13927468.75	1533	18.2975
ERR13927468.76	1556	15.4165
ERR13927468.77	1734	20.6153
ERR13927468.78	1324	16.2606
ERR13927468.79	1577	19.4737
ERR13927468.80	1604	15.6621
ERR13927468.81	1575	18.1016
ERR13927468.82	1577	14.9930
ERR13927468.83	1513	16.0714
ERR13927468.84	1570	16.7420
ERR13927468.85	1530	14.5072
ERR13927468.86	1544	16.8148
ERR13927468.87	1576	15.1942
ERR13927468.88	1283	21.4412
ERR13927468.89	1571	18.6843
ERR13927468.90	1560	18.3346
ERR13927468.91	1548	15.8469
ERR13927468.92	1578	16.0298
ERR13927468.93	1541	16.3394
