read_id	length	mean_Q
ERR13927416.1	1581	19.4984
ERR13927416.2	1586	16.1917
ERR13927416.3	1556	20.6073
ERR13927416.4	1511	16.0146
ERR13927416.5	1622	18.7047
ERR13927416.6	1582	18.8559
ERR13927416.7	1587	18.0473
ERR13927416.8	1595	14.8144
ERR13927416.9	1588	17.2651
ERR13927416.10	1584	18.1452
ERR13927416.11	1545	14.5165
ERR13927416.12	1530	17.1758
ERR13927416.13	1542	15.7166
ERR13927416.14	1553	17.6774
ERR13927416.15	1560	14.5609
ERR13927416.16	1614	17.3866
ERR13927416.17	1597	19.2455
ERR13927416.18	1593	17.6227
ERR13927416.19	1609	19.7924
ERR13927416.20	1583	14.4005
ERR13927416.21	1610	17.7186
ERR13927416.22	1583	16.1674
ERR13927416.23	1561	17.7143
ERR13927416.24	1312	17.1608
ERR13927416.25	1596	15.0232
ERR13927416.26	1576	18.4600
ERR13927416.27	1545	16.7049
ERR13927416.28	975	17.6267
ERR13927416.29	1532	18.6939
ERR13927416.30	1617	18.5387
ERR13927416.31	1595	19.8094
ERR13927416.32	1564	19.6733
ERR13927416.33	1562	16.1088
ERR13927416.34	1591	17.3048
ERR13927416.35	1597	19.6180
ERR13927416.36	1578	15.7224
ERR13927416.37	1553	17.6574
ERR13927416.38	1568	17.5842
ERR13927416.39	1533	16.4755
ERR13927416.40	1589	18.2341
ERR13927416.41	1600	15.7969
ERR13927416.42	1590	15.9025
ERR13927416.43	1595	17.8828
ERR13927416.44	1573	17.2568
ERR13927416.45	1544	17.7902
ERR13927416.46	1577	17.2162
ERR13927416.47	1553	19.2009
ERR13927416.48	1558	19.6361
ERR13927416.49	1574	19.5457
ERR13927416.50	1580	18.4487
ERR13927416.51	1599	17.7811
ERR13927416.52	1458	16.9698
ERR13927416.53	1562	18.0749
ERR13927416.54	1617	19.2733
ERR13927416.55	1579	18.4541
ERR13927416.56	1535	16.7479
ERR13927416.57	1578	20.2839
ERR13927416.58	1341	17.2774
ERR13927416.59	1574	18.0870
ERR13927416.60	1576	18.1713
ERR13927416.61	1557	16.8144
ERR13927416.62	1538	16.4766
ERR13927416.63	1590	19.1981
ERR13927416.64	1569	16.1670
ERR13927416.65	1566	19.4681
ERR13927416.66	1665	18.7772
ERR13927416.67	1538	17.3427
ERR13927416.68	1594	19.1801
ERR13927416.69	1521	16.9191
ERR13927416.70	1556	17.8464
ERR13927416.71	1607	20.2134
ERR13927416.72	1653	19.6158
ERR13927416.73	1604	19.5200
ERR13927416.74	1567	18.1417
ERR13927416.75	1583	15.7745
ERR13927416.76	1564	17.4086
ERR13927416.77	1573	16.6662
ERR13927416.78	1527	16.3274
ERR13927416.79	1512	17.6753
ERR13927416.80	1625	15.9834
ERR13927416.81	1591	15.4199
ERR13927416.82	1534	15.2269
ERR13927416.83	1534	15.6741
ERR13927416.84	1570	15.2076
ERR13927416.85	1615	17.0111
ERR13927416.86	1591	18.5739
ERR13927416.87	1568	18.1212
ERR13927416.88	702	15.9715
ERR13927416.89	1591	17.0446
ERR13927416.90	1595	17.8502
ERR13927416.91	1550	17.2955
ERR13927416.92	1582	18.9166
ERR13927416.93	1566	16.8512
ERR13927416.94	1556	19.3541
ERR13927416.95	1547	16.0821
ERR13927416.96	1586	18.8026
ERR13927416.97	1603	18.3406
ERR13927416.98	1481	17.0351
ERR13927416.99	1584	16.4432
ERR13927416.100	418	18.3900
ERR13927416.101	1563	18.5323
ERR13927416.102	1587	18.6585
ERR13927416.103	1601	17.3310
ERR13927416.104	1602	17.5905
ERR13927416.105	1634	18.1438
ERR13927416.106	1556	17.1407
ERR13927416.107	1548	17.4063
ERR13927416.108	1534	15.2008
ERR13927416.109	1572	16.9701
ERR13927416.110	1586	19.5485
ERR13927416.111	1595	16.4665
ERR13927416.112	1550	15.8619
ERR13927416.113	1024	17.6094
ERR13927416.114	1410	18.9000
ERR13927416.115	1577	19.6354
ERR13927416.116	1560	15.7122
ERR13927416.117	1600	16.8987
ERR13927416.118	1563	18.0697
ERR13927416.119	1587	15.8349
ERR13927416.120	1598	18.9174
ERR13927416.121	1561	16.2229
ERR13927416.122	1571	16.7454
ERR13927416.123	1618	20.0841
ERR13927416.124	1574	16.0172
ERR13927416.125	1512	15.9213
ERR13927416.126	1581	20.9235
ERR13927416.127	1586	17.1677
ERR13927416.128	1573	20.2835
ERR13927416.129	1578	17.8568
ERR13927416.130	1611	18.2967
ERR13927416.131	1567	18.4020
ERR13927416.132	1586	19.8134
ERR13927416.133	1603	18.4610
ERR13927416.134	1589	17.8911
ERR13927416.135	1577	16.2892
ERR13927416.136	1551	17.3862
ERR13927416.137	1559	18.4836
ERR13927416.138	1564	16.1630
ERR13927416.139	186	14.4677
ERR13927416.140	1599	17.2777
ERR13927416.141	1868	17.7939
ERR13927416.142	1539	21.0357
ERR13927416.143	1517	16.7614
ERR13927416.144	1202	15.7271
ERR13927416.145	1575	16.4749
ERR13927416.146	1593	16.8092
ERR13927416.147	1596	17.2550
ERR13927416.148	1473	16.1813
ERR13927416.149	1554	17.8578
ERR13927416.150	1539	14.4483
ERR13927416.151	1576	16.0812
ERR13927416.152	1523	19.0689
ERR13927416.153	1600	17.3425
ERR13927416.154	1540	17.8721
ERR13927416.155	1505	17.2684
ERR13927416.156	1608	15.7301
ERR13927416.157	1583	19.0891
ERR13927416.158	1584	15.7020
ERR13927416.159	1565	18.3872
ERR13927416.160	1604	17.5019
ERR13927416.161	1599	18.0582
ERR13927416.162	1534	17.7523
ERR13927416.163	1585	18.6479
ERR13927416.164	1581	17.9791
ERR13927416.165	1518	15.8149
ERR13927416.166	1528	14.2762
ERR13927416.167	510	16.7902
ERR13927416.168	1609	17.4400
ERR13927416.169	1634	20.6616
ERR13927416.170	2415	19.4998
ERR13927416.171	1541	17.5931
ERR13927416.172	1550	18.5935
ERR13927416.173	1558	15.5892
ERR13927416.174	1570	16.9541
ERR13927416.175	1575	18.6876
ERR13927416.176	1583	17.7530
ERR13927416.177	1253	16.2219
ERR13927416.178	1690	17.2846
ERR13927416.179	1580	16.9525
ERR13927416.180	1533	16.9465
