read_id	length	mean_Q
ERR13927501.1	3140	18.3580
ERR13927501.2	229	10.9913
ERR13927501.3	3093	18.8752
ERR13927501.4	3169	22.0278
ERR13927501.5	1552	17.6340
ERR13927501.6	3238	18.2427
ERR13927501.7	3133	16.9518
ERR13927501.8	2801	18.5112
ERR13927501.9	1599	22.4403
ERR13927501.10	3084	17.0182
ERR13927501.11	3045	16.7057
ERR13927501.12	1632	16.8260
ERR13927501.13	1405	15.5900
ERR13927501.14	1580	18.9538
ERR13927501.15	1607	24.0087
ERR13927501.16	1551	20.8994
ERR13927501.17	1571	23.7384
ERR13927501.18	1596	25.3189
ERR13927501.19	1578	21.0038
ERR13927501.20	1577	21.7781
ERR13927501.21	1526	19.9083
ERR13927501.22	1590	24.0308
ERR13927501.23	201	17.2189
ERR13927501.24	1573	23.5779
ERR13927501.25	1590	21.3723
ERR13927501.26	1575	24.7771
ERR13927501.27	1613	23.2387
ERR13927501.28	1618	20.2237
ERR13927501.29	1229	23.0822
ERR13927501.30	1591	17.9032
ERR13927501.31	1593	23.2775
ERR13927501.32	1595	22.4464
ERR13927501.33	1565	24.1208
ERR13927501.34	1565	19.7936
ERR13927501.35	2218	21.1713
ERR13927501.36	1617	24.4502
ERR13927501.37	1580	20.4475
ERR13927501.38	1596	24.9117
ERR13927501.39	1564	20.6439
ERR13927501.40	1570	22.8675
ERR13927501.41	1565	22.2856
ERR13927501.42	1593	23.0628
ERR13927501.43	1604	22.4726
ERR13927501.44	1383	25.2552
ERR13927501.45	1593	21.1281
ERR13927501.46	1591	22.6732
ERR13927501.47	1587	24.7606
ERR13927501.48	1551	18.1954
ERR13927501.49	1558	22.8999
ERR13927501.50	1558	17.4743
ERR13927501.51	1599	23.0944
ERR13927501.52	1589	20.2435
ERR13927501.53	1615	23.1765
ERR13927501.54	1602	20.4569
ERR13927501.55	1620	23.0272
ERR13927501.56	1517	20.0283
ERR13927501.57	1598	22.9199
ERR13927501.58	1596	24.4831
ERR13927501.59	1581	22.6521
ERR13927501.60	1572	20.9542
ERR13927501.61	1582	20.7472
ERR13927501.62	1586	18.1570
ERR13927501.63	1581	23.3510
ERR13927501.64	1576	22.8274
ERR13927501.65	1492	22.2755
ERR13927501.66	1531	22.3919
ERR13927501.67	1578	22.4183
ERR13927501.68	1561	25.2056
ERR13927501.69	1527	18.9384
