read_id	length	mean_Q
ERR13927423.1	1539	14.5530
ERR13927423.2	1602	15.5268
ERR13927423.3	374	17.6979
ERR13927423.4	231	13.6753
ERR13927423.5	1381	15.9356
ERR13927423.6	447	13.4922
ERR13927423.7	285	15.3228
ERR13927423.8	228	12.7061
ERR13927423.9	1597	15.3369
ERR13927423.10	1585	14.7230
ERR13927423.11	1532	16.1305
ERR13927423.12	1273	15.7243
ERR13927423.13	1606	16.5430
ERR13927423.14	1604	15.3940
ERR13927423.15	1536	14.5469
ERR13927423.16	1944	16.4943
ERR13927423.17	1523	15.2108
ERR13927423.18	1549	15.7592
ERR13927423.19	2262	19.4620
ERR13927423.20	190	12.8789
ERR13927423.21	216	17.5694
ERR13927423.22	486	13.7222
ERR13927423.23	145	15.1655
ERR13927423.24	461	14.6009
ERR13927423.25	212	14.5142
ERR13927423.26	1565	16.5821
ERR13927423.27	1613	15.7458
ERR13927423.28	1584	15.7449
ERR13927423.29	1619	14.8851
ERR13927423.30	1663	16.8280
ERR13927423.31	189	14.5450
ERR13927423.32	1781	16.6856
ERR13927423.33	1610	16.3981
ERR13927423.34	1591	15.6769
ERR13927423.35	1561	16.7207
ERR13927423.36	1248	20.6522
ERR13927423.37	1521	16.0309
ERR13927423.38	192	13.8125
ERR13927423.39	1593	17.2957
ERR13927423.40	1538	16.5689
ERR13927423.41	206	13.1699
ERR13927423.42	276	17.0725
ERR13927423.43	318	14.0000
ERR13927423.44	193	14.9171
ERR13927423.45	1529	17.0602
ERR13927423.46	1575	15.9873
ERR13927423.47	259	13.4903
ERR13927423.48	143	17.1469
ERR13927423.49	253	13.2846
ERR13927423.50	200	13.5750
ERR13927423.51	295	14.9695
ERR13927423.52	1589	15.1057
ERR13927423.53	1522	13.1544
ERR13927423.54	1597	15.3081
ERR13927423.55	1539	14.8239
ERR13927423.56	1566	15.2152
ERR13927423.57	259	13.6602
ERR13927423.58	1585	16.4909
ERR13927423.59	1601	15.2473
ERR13927423.60	1518	15.6238
ERR13927423.61	1551	14.8001
ERR13927423.62	1539	14.2495
ERR13927423.63	173	11.9306
ERR13927423.64	412	14.7112
ERR13927423.65	1623	15.0616
ERR13927423.66	1547	16.1713
ERR13927423.67	450	13.9978
ERR13927423.68	286	12.0035
ERR13927423.69	297	12.4276
